Haul #,Station #,Net,Date,Gross Catch (kg),Tare (kg),Large Fish & Debris (kg),Red King Crab (kg),Adjusted Net Catch (kg),1,2,3,sub weight,Subsample weight from station catch total,Difference between subsample baskets & species,Raising factor,Remarks
1,184,4,7/28,259,125,10.20,,124,17.10,17.95,,35.05,35.33,-0.28,3.5,did not get weight of 8 RKC
2,185,4,7/28,265,149,28.50,9.65,78,16.20,19.30,,35.50,32.65,2.85,2.2,
3,186,4,7/28,525,145,59.30,2.25,318,21.30,19.50,,40.80,36.51,4.29,7.8,Difference in subsample and catch total due to Jellyfish off watering.(LN)
4,187,4,7/29,335,138,15.75,7.50,174,11.20,10.40,,21.60,21.91,-0.31,8.0,
5,161,4,7/29,800,151,154.55,1.50,493,15.90,23.65,15.45,55.00,49.74,5.26,9.0,Large pollack removed from subsample without decreasing subsample weight.(LN)
6,135,4,7/29,340,158,48.40,0.00,134,14.70,18.50,,33.20,31.96,1.24,4.0,
7,134,4,7/29,187,139,1.03,0.00,47,,,,0.00,49.44,,,complete haul worked up- maybe not have fished great- if time do retow
8,107,4,7/29,534,152,61.65,0.00,320,15.50,15.75,10.85,42.10,36.98,5.13,7.6,
9,82,4,7/29,548,135,33.75,1.39,378,19.65,12.70,15.05,47.40,40.68,6.72,8.0,Large pollack removed from subsample without decreasing subsample weight.(LN)
10,81,4,7/29,1480,214,60.40,1.52,1204,20.00,20.30,28.35,68.65,66.93,1.72,17.5,
11,80,4,7/30,821,160,129.85,9.00,522,14.25,19.60,17.25,51.10,48.56,2.54,10.2,
12,79,4,7/30,461,143,41.62,0.00,276,19.30,9.50,15.45,44.25,44.78,-0.53,6.2,
13,78,4,7/30,384,164,6.60,0.00,213,19.35,21.55,,40.90,39.51,1.39,5.2,
14,103,4,7/30,336,133,11.25,1.65,190,16.95,12.60,,29.55,31.26,-1.71,6.4,
15,104,4,7/30,539,187,34.60,0.21,317,16.55,18.70,15.60,50.85,45.58,5.27,6.2,Possible small scale overloaded with starry flounder.(LN)
16,105,4,7/30,510,135,116.35,5.45,253,19.55,14.95,18.75,53.25,50.47,2.78,4.8,
17,106,4,7/30,1420,144,66.53,4.15,1205,14.45,18.45,17.65,50.55,44.59,5.96,23.8,
18,133,4,7/30,710,151,40.10,22.30,497,15.35,15.85,21.40,51.46,45.22,6.24,9.7,
19,160,4,7/31,658,168,161.65,10.55,318,11.85,15.65,18.85,46.35,45.85,0.50,6.9,
20,159,4,8/1,393,134,58.35,0.41,200,20.30,15.00,,35.30,34.45,0.85,5.7,
21,132,4,8/2,1410,138,46.43,3.15,1222,19.25,19.75,22.40,61.40,58.46,2.94,19.9,
22,131,4,8/2,558,135,5.57,1.90,416,13.00,16.05,12.00,41.05,43.93,-2.88,10.1,
23,130,4,8/2,368,139,11.60,0.00,217,14.15,14.75,,28.90,31.43,-2.53,7.5,
24,129,4,8/2,632,143,17.10,3.70,468,15.05,15.00,16.10,46.15,43.33,2.82,10.1,
25,128,4,8/2,505,137,0.00,0.00,368,18.15,20.60,9.75,48.50,50.25,-1.75,7.6,
26,127,4,8/2,439,134,0.00,0.05,305,16.80,22.70,,39.50,38.47,1.03,7.7,
27,126,4,8/2,503,134,0.00,3.60,365,11.15,13.95,14.90,40.00,38.86,1.14,9.1,
28,125,4,8/3,420,142,0.00,3.05,275,16.75,15.95,,32.70,33.27,-0.57,8.4,
29,153,4,8/3,347,146,3.20,1.10,197,17.90,16.30,,34.20,34.32,-0.12,5.8,
30,154,4,8/3,309,137,1.35,3.55,167,10.90,12.65,,23.55,25.30,-1.75,7.1,
31,155,4,8/3,309,132,0.00,1.38,176,14.65,18.70,,33.35,33.94,-0.59,5.3,
32,156,4,8/3,208,150,0.00,0.00,58,,,,0.00,57.40,,,Whole Haul Sampled
33,157,4,8/3,462,145,3.40,0.00,314,14.10,17.90,,32.00,32.73,-0.73,9.8,
34,158,4,8/3,453,140,23.65,0.00,289,15.55,18.85,,34.40,35.16,-0.76,8.4,
35,183,4,8/5,335,142,22.90,2.22,168,18.70,14.60,,33.30,33.69,-0.39,5.0,
36,182,4,8/5,294,135,2.20,0.00,157,16.75,15.55,,32.30,36.19,-3.89,4.9,
37,181,4,8/5,220,137,0.00,3.45,80,,,,0.00,69.84,,,"Whole Haul Sampled, Baskets weighed 65.55kgs"
38,203,4,8/5,610,135,3.55,0.00,471,20.75,20.95,22.40,64.10,59.57,4.53,7.4,
39,202,4,8/5,468,138,0.00,0.00,330,21.15,12.35,8.80,42.30,40.56,1.74,7.8,
40,180,4,8/5,348,139,0.00,0.01,209,20.50,22.25,,42.75,38.95,3.81,4.9,
41,179,4,8/5,829,140,12.90,0.00,676,23.30,21.15,28.75,73.20,69.41,3.79,9.2,
42,152,4,8/5,375,143,0.00,2.72,229,17.40,16.10,,33.50,30.82,2.68,6.8,
43,151,4,8/6,289,133,2.90,2.03,151,13.85,14.25,,28.10,27.84,0.26,5.4,
44,150,4,8/6,372,136,0.00,0.08,236,15.84,16.84,,32.68,32.25,0.43,7.2,Subsample basket weights now taken with crane scale. (Platform scale malfunctioned)
45,176,4,8/6,347,124,0.00,0.02,223,16.34,15.34,,31.68,31.59,0.09,7.0,
46,175,4,8/6,440,132,0.00,0.00,308,16.84,18.84,,35.68,34.66,1.02,8.6,
47,149,4,8/6,341,135,0.00,2.81,203,17.84,19.34,,37.18,35.84,1.34,5.5,
48,148,4,8/6,190,131,4.50,0.00,55,,,,0.00,51.13,,,Whole Haul Sampled
49,121,4,8/6,355,160,0.00,0.00,195,15.20,20.00,,35.20,31.94,3.26,5.5,
50,94,4,8/7,593,133,0.00,0.72,459,17.50,16.00,19.50,53.00,49.18,3.82,8.7,
51,95,4,8/7,440,135,0.00,0.23,305,18.00,16.00,,34.00,31.45,2.55,9.0,
52,122,4,8/7,382,137,0.00,2.58,242,19.00,14.50,,33.50,31.96,1.54,7.2,
53,123,4,8/7,405,144,0.00,1.62,259,22.50,18.50,,41.00,38.92,2.08,6.3,
54,96,4,8/7,412,136,0.00,0.02,276,17.50,23.50,,41.00,39.37,1.63,6.7,
55,124,4,8/7,438,140,0.00,0.06,298,14.00,18.50,,32.50,31.54,0.96,9.2,
56,98,4,8/7,446,142,0.00,1.27,303,21.00,22.50,,43.50,41.17,2.33,7.0,
57,99,4,8/7,430,149,4.50,0.00,277,22.00,20.00,,42.00,39.48,2.52,6.6,
58,100,4,8/8,365,135,3.00,0.01,227,21.50,23.50,,45.00,41.80,3.20,5.0,
59,101,4,8/8,557,145,3.00,0.00,409,15.00,18.00,22.00,55.00,52.89,2.11,7.4,
60,102,4,8/8,457,137,2.00,0.00,318,24.50,17.00,,41.50,40.00,1.50,7.7,
