Year,Haul ,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2023,1,69322,,,13.57,34,
2023,1,10120,,,,,
2023,1,21722,,,2.8,1,
2023,1,21742,,,,,
2023,1,81742,34.38,461,,,
2023,1,10285,,,,,
2023,1,66570,1.281,87,,,
2023,1,80200,1.162,6,,,
2023,1,66548,0.134,59,,,
2023,1,99999,5.96,,,,
2023,1,21375,,,,,
2023,1,23801,0.004,1,,,
2023,1,21735,1.188,16,,,
2023,1,43000,2.778,80,,,
2023,1,41201,0.006,1,,,
2023,1,10210,0.126,10,,,
2023,1,10220,10.6,18,,,
2023,1,80020,0.702,3,,,
2023,1,68781,2.429,15,,,
2023,1,83020,0.174,2,,,
2023,1,98310,0.24,1,,,
2023,1,82510,0.26,4,,,
2023,1,81095,0.092,5,,,
2023,1,85200,0.024,2,,,
2023,1,69061,0.194,18,,,
2023,1,66601,0.023,2,,,
2023,1,66050,0.008,3,,,
2023,1,66045,0.038,19,,,
2023,1,66203,0.046,10,,,
2023,1,66530,0.056,21,,,
2023,1,68577,0.068,2,,,
2023,1,69090,0.013,1,,,
2023,1,21388,0.029,2,,,
2023,1,21313,0.004,1,,,
2023,2,69322,,,49.3,64,
2023,2,10120,,,,,
2023,2,21722,,,,,
2023,2,21742,,,7.95,3,
2023,2,81742,37.36,380,,,
2023,2,10285,0.416,13,,,
2023,2,66570,2.015,571,,,
2023,2,80200,1.56,7,,,
2023,2,66548,0.04,17,,,
2023,2,99999,6.416,,,,
2023,2,21375,0.373,6,,,
2023,2,23801,0.134,9,,,
2023,2,21735,2.263,36,,,
2023,2,43000,0.375,13,,,
2023,2,41201,0.017,2,,,
2023,2,10210,7.2,156,,,
2023,2,20061,0.008,2,,,
2023,2,20041,0.006,2,,,
2023,2,80020,3.553,11,,,
2023,2,21725,0.07,1,,,
2023,2,21405,0.004,1,,,
2023,2,23804,0.013,1,,,
2023,2,24180,0.301,2,,,
2023,2,22200,0.004,1,,,
2023,2,21388,0.095,1,,,
2023,2,21313,0.015,1,,,
2023,2,68781,0.245,1,,,
2023,2,68577,0.014,1,,,
2023,2,98310,0.055,1,,,
2023,2,71511,0.007,1,,,
2023,2,95020,0.011,4,,,
2023,2,83020,0.149,2,,,
2023,2,69061,0.04,3,,,
2023,2,75241,0.012,1,,,
2023,2,10220,1.372,4,,,
2023,2,66530,0.059,24,,,
2023,2,66045,0.041,21,,,
2023,2,66050,0.032,8,,,
2023,3,69322,,,49.19,59,
2023,3,10120,,,,,
2023,3,21722,,,,,
2023,3,21742,,,4.18,2,
2023,3,81742,26.3,226,,,
2023,3,10285,0.52,6,,,
2023,3,66570,0.248,76,,,
2023,3,80200,0.912,5,,,
2023,3,66548,0.006,6,,,
2023,3,99999,0.182,,,,
2023,3,21375,0.087,1,,,
2023,3,23801,0.012,1,,,
2023,3,21735,1.06,16,,,
2023,3,43000,,,,,
2023,3,41201,,,,,
2023,3,10210,2.7,100,,,
2023,3,10220,5.2,8,,,
2023,3,80020,3.42,11,,,
2023,3,66530,0.007,3,,,
2023,3,66045,0.042,22,,,
2023,3,10140,0.025,3,,,
2023,3,68781,0.213,1,,,
2023,3,68580,0.04,4,,,
2023,3,69061,0.001,1,,,
2023,3,95020,0.001,1,,,
2023,3,21741,0.009,1,,,
2023,4,69322,,,13.15,14,
2023,4,10120,,,,,
2023,4,21722,,,1.4,1,
2023,4,21742,,,4.4,2,
2023,4,81742,9.75,137,,,
2023,4,10285,3.62,20,,,
2023,4,66570,0.07,14,,,
2023,4,80200,1.361,7,,,
2023,4,66548,,,,,
2023,4,99999,1.548,,,,
2023,4,21375,1.734,7,,,
2023,4,23801,0.021,1,,,
2023,4,21735,0.92,15,,,
2023,4,43000,,,,,
2023,4,41201,0.002,1,,,
2023,4,10210,1.07,27,,,
2023,4,20322,1.04,1,,,
2023,4,10220,21.59,42,,,
2023,4,80020,4.435,13,,,
2023,4,66045,0.042,11,,,
2023,4,66530,0.004,1,,,
2023,4,71511,0.012,3,,,
2023,4,68580,0.05,5,,,
2023,4,80595,0.083,10,,,
2023,4,40500,0.056,1,,,
2023,4,20041,0.056,2,,,
2023,4,20061,0.022,1,,,
2023,4,21388,0.025,1,,,
2023,4,21741,0.061,5,,,
2023,4,10140,0.023,3,,,
2023,5,69322,,,0.286,1,
2023,5,10120,,,,,
2023,5,21722,,,24.35,5,
2023,5,21742,,,4.25,2,
2023,5,81742,16.5,167,,,
2023,5,10285,1.48,15,,,
2023,5,66570,0.152,36,,,
2023,5,80200,6.64,33,,,
2023,5,66548,,,,,
2023,5,99999,3.892,,,,
2023,5,21375,,,,,
2023,5,23801,,,,,
2023,5,21735,0.442,5,,,
2023,5,43000,,,,,
2023,5,41201,,,,,
2023,5,10210,2.832,19,,,
2023,5,10220,3.32,7,,,
2023,5,80020,2.0916,10,,,
2023,5,80595,0.124,13,,,
2023,5,10211,0.074,2,,,
2023,5,83020,0.198,2,,,
2023,5,98310,0.052,1,,,
2023,5,40500,0.188,4,,,
2023,5,56312,0.004,5,,,
2023,5,71639,0.004,1,,,
2023,5,66530,0.004,2,,,
2023,5,69061,0.028,1,,,
2023,5,68580,0.016,1,,,
2023,6,69322,,,4.45,3,
2023,6,10120,,,,,
2023,6,21722,,,4.78,1,
2023,6,21742,,,8.06,5,
2023,6,81742,31.55,390, ,,
2023,6,10285,6.308,23,,,
2023,6,66570,0.332,77,,,
2023,6,80200,1.006,12,,,
2023,6,66548,0.004,2,,,
2023,6,99999,0.426,,,,
2023,6,21375,1.486,1,,,
2023,6,23801,0.004,2,,,
2023,6,21735,,,,,
2023,6,43000,,,,,
2023,6,41201,,,,,
2023,6,10210,2.132,28,,,
2023,6,10220,0.824,2,,,
2023,6,80020,1.73,6,,,
2023,6,10211,0.18,4,,,
2023,6,80595,0.138,21,,,
2023,6,83020,1.036,9,,,
2023,6,69061,0.04,4,,,
2023,6,68577,0.028,1,,,
2023,6,10140,0.03,2,,,
2023,6,40500,0.036,1,,,
2023,6,98000,0.043,13,,,
2023,6,66530,0.022,7,,,
2023,7,69322,,,,,
2023,7,10120,,,,,
2023,7,21722,,,,,
2023,7,21742,,,30.4,21,
2023,7,81742,15.55,332,,,
2023,7,10285,5.592,3,,,
2023,7,66570,0.41,87,,,
2023,7,80200,0.89,16,,,
2023,7,66548,,,,,
2023,7,99999,0.892,,,,
2023,7,21375,2.938,3,,,
2023,7,23801,0.054,4,,,
2023,7,21735,0.024,2,,,
2023,7,43000,,,,,
2023,7,41201,0.088,3,,,
2023,7,10210,2.984,27,,,
2023,7,10220,1.382,1,,,
2023,7,98310,1.276,4,,,
2023,7,80590,0.482,3,,,
2023,7,83020,4.788,30,,,
2023,7,71511,0.568,78,,,
2023,7,80595,2.418,163,,,
2023,7,82510,0.948,11,,,
2023,7,80020,1.15,1,,,
2023,7,69086,0.192,5,,,
2023,7,69120,1.412,26,,,
2023,7,83000,0.042,15,,,
2023,7,66530,0.05,21,,,
2023,7,66045,0.024,2,,,
2023,7,10140,0.062,8,,,
2023,7,21721,0.054,2,,,
2023,7,23041,0.018,1,,,
2023,7,68580,0.072,4,,,
2023,7,68577,0.082,3,,,
2023,7,69061,0.046,2,,,
2023,7,40500,0.212,4,,,
2023,7,98000,0.036,9,,,
2023,7,74562,0.036,2,,,
2023,7,98082,0.028,2,,,
2023,7,81095,0.064,3,,,
2023,7,50010,0.022,20,,,
2023,7,91000,0.002,1,,,
2023,7,95060,0.002,1,,,
2023,8,69322,,,,,
2023,8,10120,,,,,
2023,8,21722,,,4.78,1,
2023,8,21742,,,5.07,3,
2023,8,81742,19.8,140,,,
2023,8,10285,0.37,1,,,
2023,8,66570,0.072,18,,,
2023,8,80200,0.376,3,,,
2023,8,66548,,,,,
2023,8,99999,6.302,,,,
2023,8,21375,2.952,2,,,
2023,8,23801,0.048,3,,,
2023,8,21735,0.132,1,,,
2023,8,43000,0.014,1,,,
2023,8,41201,0.038,1,,,
2023,8,10210,0.308,7,,,
2023,8,471,,,8.85,1,
2023,8,68577,0.66,13,,,
2023,8,83020,3.22,26,,,
2023,8,10140,0.014,3,,,
2023,8,80595,1.88,129,,,
2023,8,10220,2.044,3,,,
2023,8,80020,0.038,1,,,
2023,8,82510,0.082,1,,,
2023,8,40500,0.032,1,,,
2023,8,80590,0.308,2,,,
2023,8,69086,1.312,23,,,
2023,8,69120,4.75,69,,,
2023,8,95060,0.002,1,,,
2023,8,,0.012,1,,,
2023,8,98000,0.008,4,,,
2023,8,23041,0.01,1,,,
2023,8,83000,0.078,30,,,
2023,8,66530,0.006,3,,,
2023,8,98310,2.095,5,,,
2023,8,98082,0.665,19,,,
2023,9,69322,,,,,
2023,9,10120,,,,,
2023,9,21722,,,3.95,1,
2023,9,21742,,,7.75,5,
2023,9,81742,21.16,203,,,
2023,9,10285,0.476,4,,,
2023,9,66570,0.098,27,,,
2023,9,80200,2.336,7,,,
2023,9,66548,,,,,
2023,9,99999,5.488,,,,
2023,9,21375,0.992,1,,,
2023,9,23801,,,,,
2023,9,21735,,,,,
2023,9,43000,0.114,14,,,
2023,9,41201,0.04,2,,,
2023,9,10210,0.244,4,,,
2023,9,80595,0.718,59,,,
2023,9,98082,1.856,72,,,
2023,9,68577,0.334,6,,,
2023,9,83020,0.482,2,,,
2023,9,69086,2.292,52,,,
2023,9,66530,0.002,1,,,
2023,9,69120,5.25,97,,,
2023,9,71001,0.032,2,,,
2023,9,69061,0.006,1,,,
2023,9,74562,0.116,14,,,
2023,9,54030,0.002,2,,,
2023,9,,0.016,2,,,
2023,9,56311,0.002,1,,,
2023,10,69322,,,2.17,2,
2023,10,10120,,,,,
2023,10,21722,,,14.45,2,
2023,10,21742,,,1.6,1,
2023,10,81742,18.45,356,,,
2023,10,10285,0.228,2,,,
2023,10,66570,0.058,15,,,
2023,10,80200,0.062,1,,,
2023,10,66548,0.001,2,,,
2023,10,99999,3.758,,,,
2023,10,21375,,,,,
2023,10,23801,0.002,1,,,
2023,10,21735,0.058,1,,,
2023,10,43000,1.178,52,,,
2023,10,41201,1.933,91,,,
2023,10,10210,0.606,10,,,
2023,10,80595,0.232,25,,,
2023,10,83020,1.05,13,,,
2023,10,98310,2.536,13,,,
2023,10,40500,0.242,2,,,
2023,10,80590,0.098,1,,,
2023,10,56312,0.001,1,,,
2023,10,21741,0.04,5,,,
2023,10,10140,0.026,4,,,
2023,10,68580,0.018,1,,,
2023,10,68577,0.02,1,,,
2023,10,69061,0.024,3,,,
2023,10,95060,0.018,2,,,
2023,10,,0.008,1,,,
2023,10,69120,7.73,147,,,
2023,10,56311,0.001,1,,,
2023,10,69086,1.836,30,,,
2023,10,66530,0.018,8,,,
2023,11,69322,,,5.2,4,
2023,11,10120,,,,,
2023,11,21722,,,8.22,3,
2023,11,21742,,,9.46,6,
2023,11,81742,28.44,402,,,
2023,11,10285,3.214,10,,,
2023,11,66570,0.11,27,,,
2023,11,80200,0.086,3,,,
2023,11,66548,0.001,1,,,
2023,11,99999,3.046,,,,
2023,11,21375,,,,,
2023,11,23801,,,,,
2023,11,21735,,,,,
2023,11,43000,0.398,23,,,
2023,11,41201,0.144,8,,,
2023,11,10210,0.728,14,,,
2023,11,83020,0.606,6,,,
2023,11,69120,3.594,45,,,
2023,11,69086,0.204,2,,,
2023,11,69090,0.068,1,,,
2023,11,80020,1.486,4,,,
2023,11,98310,2.702,20,,,
2023,11,,0.034,4,,,
2023,11,80595,0.006,1,,,
2023,11,82510,0.044,1,,,
2023,11,83000,0.036,12,,,
2023,11,66530,0.006,4,,,
2023,12,69322,,,5.39,4,
2023,12,10120,,,,,
2023,12,21722,,,9.7,2,
2023,12,21742,,,,,
2023,12,81742,17.43,208,,,
2023,12,10285,4.764,65,,,
2023,12,66570,0.028,27,,,
2023,12,80200,1.53,61,,,
2023,12,66548,0.002,1,,,
2023,12,99999,1.118,,,,
2023,12,21375,1.398,1,,,
2023,12,23801,0.002,1,,,
2023,12,21735,0.362,3,,,
2023,12,43000,0.144,1,,,
2023,12,41201,0.128,10,,,
2023,12,10210,2.278,39,,,
2023,12,80020,1.032,1,,,
2023,12,98310,1.432,7,,,
2023,12,40500,3.454,11,,,
2023,12,10220,2.02,2,,,
2023,12,98082,0.59,41,,,
2023,12,66530,0.004,1,,,
2023,12,83020,0.172,1,,,
2023,12,10140,0.01,1,,,
2023,12,69061,0.042,2,,,
2023,12,69120,0.942,18,,,
2023,12,74311,0.004,1,,,
2023,12,69090,0.052,1,,,
2023,12,74562,0.004,1,,,
2023,13,69322,,,3.96,3,
2023,13,10120,,,4.28,2,
2023,13,21722,,,12.38,2,
2023,13,21742,,,1.32,1,
2023,13,81742,20.78,301,,,
2023,13,10285,5.28,70,,,
2023,13,66570,0.206,53,,,
2023,13,80200,9.98,41,,,
2023,13,66548,0.008,4,,,
2023,13,99999,3.012,,,,
2023,13,21375,0.032,1,,,
2023,13,23801,0.006,2,,,
2023,13,21735,1.596,18,,,
2023,13,43000,,,,,
2023,13,41201,0.102,8,,,
2023,13,10210,2.398,59,,,
2023,13,80020,2.216,5,,,
2023,13,98310,1.62,9,,,
2023,13,40500,2.398,11,,,
2023,13,10220,3.766,4,,,
2023,13,80595,0.126,21,,,
2023,13,69120,0.316,4,,,
2023,13,75241,0.044,1,,,
2023,13,71001,0.018,2,,,
2023,13,83020,0.064,1,,,
2023,13,98082,0.004,1,,,
2023,13,10211,0.014,1,,,
2023,13,21721,0.058,3,,,
2023,13,21741,0.008,1,,,
2023,13,20061,0.008,1,,,
2023,13,24180,0.054,1,,,
2023,13,71511,0.002,1,,,
2023,13,68577,0.002,1,,,
2023,14,69322,,,7.04,6,
2023,14,10120,,,2.156,1,
2023,14,21722,,,,,
2023,14,21742,,,,,
2023,14,81742,26,277,,,
2023,14,10285,0.504,10,,,
2023,14,66570,,,,,
2023,14,80200,1.898,9,,,
2023,14,66548,0.048,11,,,
2023,14,99999,1.562,,,,
2023,14,21375,1.26,3,,,
2023,14,23801,0.022,1,,,
2023,14,21735,1.234,15,,,
2023,14,43000,0.084,4,,,
2023,14,41201,0.008,1,,,
2023,14,10210,5.64,120,,,
2023,14,10220,6.984,6,,,
2023,14,98310,0.324,2,,,
2023,14,80020,2.556,6,,,
2023,14,40500,0.902,5,,,
2023,14,75241,0.112,2,,,
2023,14,69120,0.072,1,,,
2023,14,80595,0.052,6,,,
2023,14,21741,0.01,1,,,
2023,14,68781,0.1,1,,,
2023,14,50301,0.002,1,,,
2023,15,69322,,,11.87,9,
2023,15,10120,,,,,
2023,15,21722,,,,,
2023,15,21742,,,,,
2023,15,81742,28.47,245,,,
2023,15,10285,1.862,42,,,
2023,15,66570,0.074,13,,,
2023,15,80200,4.682,15,,,
2023,15,66548,,,,,
2023,15,99999,0.34,,,,
2023,15,21375,1.268,4,,,
2023,15,23801,0.022,1,,,
2023,15,21735,0.582,8,,,
2023,15,43000,,,,,
2023,15,41201,,,,,
2023,15,10210,2.682,80,,,
2023,15,40500,0.332,2,,,
2023,15,10220,1.71,2,,,
2023,15,80595,0.132,12,,,
2023,15,21741,0.192,14,,,
2023,15,10211,0.038,1,,,
2023,15,21110,0.062,1,,,
2023,15,21313,0.036,1,,,
2023,15,66530,0.004,1,,,
2023,16,69322,,,7.74,7,
2023,16,10120,,,,,
2023,16,21722,,,2.46,1,
2023,16,21742,,,1.58,1,
2023,16,81742,25,245,,,
2023,16,10285,2.168,34,,,
2023,16,66570,0.07,14,,,
2023,16,80200,1.502,5,,,
2023,16,66548,0.004,2,,,
2023,16,99999,1.256,,,,
2023,16,21375,0.432,3,,,
2023,16,23801,,,,,
2023,16,21735,0.226,3,,,
2023,16,43000,0.946,26,,,
2023,16,41201,0.29,33,,,
2023,16,10210,7.28,122,,,
2023,16,471,,,9.46,1,
2023,16,10220,0.657,1,,,
2023,16,80020,1.02,1,,,
2023,16,21313,0.036,1,,,
2023,16,98082,0.27,14,,,
2023,16,98310,1.626,5,,,
2023,16,83020,0.126,2,,,
2023,16,82510,0.034,1,,,
2023,16,75284,0.052,2,,,
2023,16,71001,0.042,20,,,
2023,16,69120,4.12,59,,,
2023,16,69090,0.242,4,,,
2023,16,71511,0.002,1,,,
2023,16,10211,0.056,2,,,
2023,16,68580,0.038,1,,,
2023,16,80595,0.034,3,,,
2023,16,21741,0.008,1,,,
2023,16,71884,0.312,2,,,
2023,17,69322,,,1.48,1,
2023,17,10120,,,,,
2023,17,21722,,,13.42,2,
2023,17,21742,,,2.38,1,
2023,17,81742,23.38,301,,,
2023,17,10285,3.98,18,,,
2023,17,66570,0.002,1,,,
2023,17,80200,2.994,11,,,
2023,17,66548,0.006,3,,,
2023,17,99999,1.082,,,,
2023,17,21375,2.024,3,,,
2023,17,23801,0.194,3,,,
2023,17,21735,,,,,
2023,17,43000,0.22,5,,,
2023,17,41201,0.054,6,,,
2023,17,10210,6.982,97,,,
2023,17,68580,0.424,2,,,
2023,17,10220,1.858,1,,,
2023,17,80020,0.724,1,,,
2023,17,69120,0.696,5,,,
2023,17,69090,0.15,1,,,
2023,17,21721,0.072,2,,,
2023,17,83020,0.084,1,,,
2023,17,98310,0.118,1,,,
2023,17,40500,0.022,1,,,
2023,17,98082,0.002,1,,,
2023,17,50301,0.002,1,,,
2023,18,69322,,,4.16,6,
2023,18,10120,,,,,
2023,18,21722,,,,,
2023,18,21742,,,2.46,1,
2023,18,81742,23.85,453,,,
2023,18,10285,0.814,33,,,
2023,18,66570,0.012,2,,,
2023,18,80200,,,,,
2023,18,66548,0.012,8,,,
2023,18,99999,0.448,,,,
2023,18,21375,1.592,3,,,
2023,18,23801,,,,,
2023,18,21735,0.406,10,,,
2023,18,43000,,,,,
2023,18,41201,0.024,2,,,
2023,18,10210,17.72,158,,,
2023,18,21741,0.178,14,,,
2023,18,80020,0.862,1,,,
2023,18,21110,0.076,1,,,
2023,18,98310,0.284,1,,,
2023,19,69322,,,17.43,17,
2023,19,10120,,,,,
2023,19,21722,,,,,
2023,19,21742,,,,,
2023,19,81742,33.15,585,,,
2023,19,10285,0.808,29,,,
