HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
-17410,162,201702,60,3,0,8252017,1219,0.524,2.97,14.626,Y,2.53,64.97021,-167.60049,EE-02,30,33,6.4,3.4,137,44,15,2,0.01266485,69322,2,35.1,2,0,0,0,,,,,,,27.81716265,26,1
-17410,162,201702,60,3,0,8252017,1219,0.524,2.97,14.626,Y,2.53,64.97021,-167.60049,EE-02,30,33,6.4,3.4,137,44,15,2,0.01266485,69322,2,34.5,2,0,0,0,,,,,,,26.35667543,26,1
-17410,162,201702,60,3,0,8252017,1219,0.524,2.97,14.626,Y,2.53,64.97021,-167.60049,EE-02,30,33,6.4,3.4,137,44,15,2,0.01266485,69322,2,39.4,2,0,0,0,,,,,,,39.93026047,36,1
-17399,162,201702,56,3,0,8222017,1806,0.521,2.858,15.69,Y,2.4,65.01722,-169.12043,EE-18,47,49,6,4,183,44,15,2,0.013073841,69322,,,,,,,,,,,,,,,
-17398,162,201702,55,3,0,8222017,1454,0.517,2.882,16.17,Y,2.47,65.00784,-169.91102,EE-19,48,50,5.7,3,183,44,15,1,0.013586952,69322,,,,,,,,,,,,,,,
-17412,162,201702,62,3,0,8252017,1959,0.514,2.823,15.583,Y,2.204,65.32591,-168.36981,FF-01,51,53,6.2,3.7,183,44,15,2,0.012825668,69322,,,,,,,,,,,,,,,
-17411,162,201702,61,3,0,8252017,1640,0.522,2.919,14.458,Y,2.831,65.25698,-167.86932,FF-02,30,33,7.3,3.4,137,44,15,2,0.012304397,69322,2,52.6,2,0,0,0,,,,,,,98.58886059,,1
-17411,162,201702,61,3,0,8252017,1640,0.522,2.919,14.458,Y,2.831,65.25698,-167.86932,FF-02,30,33,7.3,3.4,137,44,15,2,0.012304397,69322,1,53.3,2,,,,,,,,,,107.0365091,104,1
-17411,162,201702,61,3,0,8252017,1640,0.522,2.919,14.458,Y,2.831,65.25698,-167.86932,FF-02,30,33,7.3,3.4,137,44,15,2,0.012304397,69322,1,71.2,2,,,,,,,,,,265.8051765,,1
-17400,162,201702,57,3,0,8222017,2048,0.515,2.828,14.909,Y,2.733,65.21764,-168.89474,FF-18,51,54,4.9,4,183,44,15,2,0.012292662,69322,,,,,,,,,,,,,,,
-17440,162,201702,89,3,0,9022017,1205,0.521,2.916,14.223,Y,2.885,60.6721,-168.01654,R-01,26,29,10,10.2,137,44,15,1,0.012091962,69322,,,,,,,,,,,,,,,
-17420,94,201702,57,3,0,8262017,1553,0.533,2.974,15.728,Y,2.164,60.67349,-167.31228,R-02,24,26,11,11,137,44,15,1,0.013637429,69322,,,,,,,,,,,,,,,
-17356,94,201702,17,3,0,8162017,1609,0.53,2.885,15.096,Y,2.403,60.66099,-166.65737,R-03,18,20,12.7,12.7,137,44,15,1,0.01269772,69322,,,,,,,,,,,,,,,
-17090,162,201702,13,3,0,8042017,739,0.512,2.791,15.526,Y,2.347,60.66639,-168.7065,R-18,35,37,8.8,8.2,137,44,15,1,0.012633901,69322,1,128.3,4,,,,,40.5,,,,,1690.242905,,1
-17079,94,201702,14,3,0,8042017,727,0.507,2.874,15.186,Y,2.411,60.67054,-169.37521,R-19,41,43,10.5,4.8,137,44,15,1,0.012724719,69322,2,104.9,2,5,1,6,,,,,,,876.9972825,714,1
-17089,162,201702,12,3,0,8032017,1559,0.513,2.774,16.667,Y,2.16,60.67508,-170.05565,R-20,47,49,10.8,1.5,183,44,15,2,0.013479753,69322,,,,,,,,,,,,,,,
-17078,94,201702,13,3,0,8032017,1520,0.506,2.687,16.281,Y,2.178,60.67064,-170.75633,R-21,56,58,11.5,-0.7,183,44,15,1,0.012754598,69322,,,,,,,,,,,,,,,
-17439,162,201702,88,3,0,9022017,910,0.521,2.902,14.475,Y,2.778,61.00562,-168.03519,S-01,27,30,10.1,9.3,137,44,15,1,0.012247121,69322,,,,,,,,,,,,,,,
-17419,94,201702,56,3,0,8262017,1316,0.532,2.942,16.317,Y,1.818,60.99729,-167.32733,S-02,21,23,10.8,10.8,137,44,15,1,0.013995906,69322,,,,,,,,,,,,,,,
-17357,94,201702,18,3,0,8162017,1902,0.534,3.049,14.897,Y,2.705,61.00993,-166.67181,S-03,17,20,12,11.9,137,44,15,1,0.013242631,69322,,,,,,,,,,,,,,,
-17091,162,201702,14,3,0,8042017,1020,0.515,2.829,15.73,Y,2.463,60.99402,-168.71334,S-18,34,36,9.5,8.7,137,44,15,1,0.012974174,69322,,,,,,,,,,,,,,,
-17080,94,201702,15,3,0,8042017,958,0.507,2.75,15.293,Y,2.391,60.99735,-169.43424,S-19,39,41,10.9,6,137,44,15,1,0.012261495,69322,1,184.9,2,,,,,68.3,,,,,5327.347678,,1
-17080,94,201702,15,3,0,8042017,958,0.507,2.75,15.293,Y,2.391,60.99735,-169.43424,S-19,39,41,10.9,6,137,44,15,1,0.012261495,69322,1,133.6,3,,,,,41.8,,,,,1919.433855,,1
-17088,162,201702,11,3,0,8032017,1323,0.532,2.935,16.66,Y,2.296,60.99503,-170.13331,S-20,46,48,10.8,1.3,183,44,15,2,0.014256113,69322,1,124.6,2,,,,,38.4,,,,,1541.79673,1626,1
-17077,94,201702,12,3,0,8032017,1244,0.51,2.751,16.375,Y,2.146,61.00328,-170.81818,S-21,51,53,10.5,-0.6,183,44,15,1,0.013133786,69322,,,,,,,,,,,,,,,
-17444,162,201702,87,3,0,9012017,1659,0.522,2.958,14.694,Y,2.802,61.33972,-168.0662,T-01,27,30,9.6,6.8,137,44,15,1,0.012672323,69322,2,119.2,2,4,1,5,,,,,,,1233.01259,,1
-17418,94,201702,55,3,0,8262017,1028,0.532,2.85,15.603,Y,2.242,61.34474,-167.37217,T-02,22,24,11,10.4,137,44,15,1,0.012964955,69322,,,,,,,,,,,,,,,
-17358,94,201702,19,3,0,8172017,730,0.536,3.092,15.198,Y,2.697,61.3304,-166.91177,T-03,18,21,11.8,11.8,137,44,15,1,0.013700738,69322,,,,,,,,,,,,,,,
-17092,162,201702,15,3,0,8042017,1253,0.523,2.955,15.575,Y,2.319,61.33044,-168.74267,T-18,32,34,10,8.9,137,44,15,1,0.013418488,69322,,,,,,,,,,,,,,,
-17081,94,201702,16,3,0,8042017,1230,0.509,2.795,15.731,Y,2.243,61.32645,-169.45852,T-19,38,40,10.9,4.4,137,44,15,1,0.01281906,69322,,,,,,,,,,,,,,,
-17087,162,201702,10,3,0,8032017,1026,0.519,2.845,16.474,Y,2.091,61.33137,-170.1774,T-20,45,47,10.7,-0.4,183,44,15,1,0.013664677,69322,,,,,,,,,,,,,,,
-17076,94,201702,11,3,0,8032017,1005,0.517,2.737,16.283,Y,2.139,61.33543,-170.84629,T-21,47,49,10.6,-0.7,183,44,15,2,0.012993533,69322,,,,,,,,,,,,,,,
-17074,94,201702,9,3,0,8022017,1813,0.506,2.761,16.389,Y,2.473,61.3312,-171.5116,T-22,53,55,11.8,-1.1,183,44,15,1,0.013192798,69322,,,,,,,,,,,,,,,
-17069,94,201702,4,3,0,8012017,1506,0.513,2.863,18.668,Y,2.025,61.33567,-172.25823,T-23,62,64,11.8,-1.4,229,44,15,1,0.015582501,69322,,,,,,,,,,,,,,,
-17068,94,201702,3,3,0,8012017,1236,0.339,1.79,17.711,Y,2.102,61.34035,-172.93407,T-24,66,68,11.5,-1.4,229,44,15,1,0.009243025,69322,,,,,,,,,,,,,,,
-17443,162,201702,86,3,0,9012017,1413,0.519,2.899,14.509,Y,2.864,61.66796,-168.0963,U-01,26,29,9.1,7.3,137,44,15,1,0.012263198,69322,,,,,,,,,,,,,,,
-17417,94,201702,54,3,0,8262017,744,0.532,2.925,15.54,Y,2.303,61.67795,-167.4185,U-02,22,24,10.8,9.5,137,44,15,1,0.013252412,69322,,,,,,,,,,,,,,,
-17359,94,201702,20,3,0,8172017,1117,0.535,3.042,15.398,Y,2.59,61.64634,-166.74446,U-03,19,22,12.5,12.4,137,44,15,1,0.013656568,69322,,,,,,,,,,,,,,,
-17347,162,201702,24,3,0,8152017,1109,0.516,2.852,15.571,Y,2.628,61.6664,-168.80322,U-18,34,37,8.5,3.3,137,44,15,1,0.012947445,69322,,,,,,,,,,,,,,,
-17348,162,201702,25,3,0,8152017,1414,0.513,2.873,15.696,Y,2.507,61.66581,-169.50274,U-19,39,42,9,0.9,137,44,15,2,0.013147484,69322,,,,,,,,,,,,,,,
-17086,162,201702,9,3,0,8032017,742,0.517,2.83,16.231,Y,2.458,61.673,-170.221,U-20,44,46,10.8,-0.5,183,44,15,2,0.013392133,69322,,,,,,,,,,,,,,,
-17075,94,201702,10,3,0,8032017,730,0.51,2.639,17.258,Y,2.301,61.67597,-170.90997,U-21,48,50,9.6,-1,183,44,15,1,0.013278466,69322,,,,,,,,,,,,,,,
-17073,94,201702,8,3,0,8022017,1532,0.505,2.734,16.165,Y,2.325,61.67415,-171.58834,U-22,53,55,11.2,-1.3,183,44,15,1,0.012885232,69322,,,,,,,,,,,,,,,
-17070,94,201702,5,3,0,8022017,726,0.517,2.735,17.116,Y,2.245,61.65951,-172.32618,U-23,59,61,10.5,-1.4,229,44,15,1,0.013648271,69322,,,,,,,,,,,,,,,
-17067,94,201702,2,3,0,8012017,1010,0.286,1.476,16.648,N,2.268,61.66846,-173.03584,U-24,63,65,10.6,-1.5,229,44,15,1,0.00716418,69322,,,,,,,,,,,,,,,
-17442,162,201702,85,3,0,9012017,1128,0.52,2.851,14.247,Y,2.936,62.00126,-168.126,V-01,26,29,8.6,6.8,137,44,15,1,0.011842371,69322,1,145.8,3,,,,,,,,,,2525.748618,,1
-17441,162,201702,84,3,0,9012017,840,0.524,2.942,15.145,Y,3,62.00017,-167.4425,V-02,23,26,9.4,7.9,137,44,15,1,0.012990623,69322,,,,,,,,,,,,,,,
-17360,94,201702,21,3,0,8172017,1424,0.537,2.897,15.567,Y,2,61.99927,-166.69886,V-03,19,21,13.4,11.8,137,44,15,1,0.013148356,69322,,,,,,,,,,,,,,,
-17346,162,201702,23,3,0,8152017,759,0.52,2.862,16.003,Y,2.482,61.99596,-168.84087,V-18,34,36,8.8,0.8,137,44,15,1,0.013353314,69322,,,,,,,,,,,,,,,
-17349,162,201702,26,3,0,8152017,1658,0.533,3.009,16.87,Y,2.269,62.00914,-169.54835,V-19,40,42,8.7,-0.6,183,44,15,1,0.014799782,69322,,,,,,,,,,,,,,,
-17352,162,201702,28,3,0,8162017,803,0.52,2.767,16.435,Y,2.455,62.00291,-170.25688,V-20,44,46,8.8,-0.9,183,44,15,1,0.013258577,69322,,,,,,,,,,,,,,,
-17085,162,201702,8,3,0,8022017,1715,0.512,2.824,16.762,Y,2.331,61.99606,-170.96093,V-21,48,50,10.8,-1.1,183,44,15,1,0.013800937,69322,,,,,,,,,,,,,,,
-17072,94,201702,7,3,0,8022017,1249,0.508,2.727,15.731,Y,2.419,61.99557,-171.65183,V-22,49,51,11.2,-1.1,229,44,15,1,0.012507183,69322,,,,,,,,,,,,,,,
-17071,94,201702,6,3,0,8022017,1004,0.505,2.825,15.73,Y,2.509,61.99573,-172.36478,V-23,52,55,10.1,-1.2,183,44,15,1,0.012955829,69322,,,,,,,,,,,,,,,
-17066,94,201702,1,3,0,8012017,731,0.519,2.686,16.648,N,2.4,62.00502,-173.08487,V-24,56,58,11,-1.5,229,44,15,1,0.013037254,69322,,,,,,,,,,,,,,,
-17436,162,201702,81,3,0,8312017,1147,0.517,2.883,14.764,Y,2.961,62.33369,-168.15468,W-01,28,31,8.4,8.2,137,44,15,1,0.012409855,69322,,,,,,,,,,,,,,,
-17438,162,201702,83,3,0,8312017,1852,0.519,2.871,14.603,Y,2.993,62.33883,-167.43722,W-02,24,27,8.9,8.4,137,44,15,1,0.012223436,69322,,,,,,,,,,,,,,,
-17361,94,201702,22,3,0,8172017,1713,0.541,2.931,15.196,Y,2.586,62.3255,-166.72352,W-03,19,22,11.8,11.2,137,44,15,1,0.012985633,69322,,,,,,,,,,,,,,,
-17235,162,201702,18,3,0,8112017,1711,0.524,2.951,15.848,Y,2.618,62.33254,-168.87068,W-18,32,35,12,0.8,137,44,15,2,0.013635206,69322,,,,,,,,,,,,,,,
-17350,162,201702,27,3,0,8152017,1948,0.514,2.842,14.518,Y,2.648,62.33285,-169.59543,W-19,34,37,7.6,0.5,137,44,15,1,0.012029537,69322,,,,,,,,,,,,,,,
-17353,162,201702,29,3,0,8162017,1104,0.51,2.85,15.123,Y,2.703,62.34174,-170.28428,W-20,37,40,8,0.9,137,44,15,1,0.01256611,69322,,,,,,,,,,,,,,,
-17084,162,201702,7,3,0,8022017,1413,0.519,2.828,16.098,Y,2.481,62.33773,-171.05503,W-21,41,43,10.5,-0.5,183,44,15,1,0.013273008,69322,,,,,,,,,,,,,,,
-17083,162,201702,6,3,0,8022017,1103,0.516,2.833,15.606,Y,2.536,62.33721,-171.7271,W-22,45,48,10.3,-1,183,44,15,1,0.012890098,69322,,,,,,,,,,,,,,,
-17082,162,201702,5,3,0,8022017,738,0.509,2.804,16.299,Y,2.405,62.33073,-172.44562,W-23,52,54,10.4,-1.4,183,44,15,1,0.013324687,69322,,,,,,,,,,,,,,,
-17065,162,201702,4,3,0,8012017,1521,0.519,2.851,16.808,Y,2.24,62.34322,-173.17429,W-24,58,60,10.3,-1.5,229,44,15,1,0.013971122,69322,,,,,,,,,,,,,,,
-17064,162,201702,3,3,0,8012017,1248,0.513,2.801,17.925,Y,2.202,62.34185,-173.88367,W-25,62,64,10.3,-1.6,229,44,15,1,0.014638289,69322,,,,,,,,,,,,,,,
-17063,162,201702,2,3,0,8012017,1006,0.505,2.76,16.729,Y,2.321,62.34029,-174.64544,W-26,69,71,10.4,-1.6,229,44,15,1,0.013461613,69322,,,,,,,,,,,,,,,
-17062,162,201702,1,3,0,8012017,742,0.519,2.809,17.283,Y,2.254,62.33537,-175.29846,W-27,77,79,10.3,-1.5,274,44,15,1,0.014154317,69322,,,,,,,,,,,,,,,
-17435,162,201702,80,3,0,8312017,837,0.509,2.855,14.456,Y,3.021,62.6582,-168.18624,X-01,31,34,8.5,7.9,137,44,15,1,0.012032955,69322,,,,,,,,,,,,,,,
-17437,162,201702,82,3,0,8312017,1614,0.521,2.876,14.666,Y,2.991,62.66205,-167.4697,X-02,25,28,9,7.6,137,44,15,1,0.01229755,69322,,,,,,,,,,,,,,,
-17370,94,201702,23,3,0,8182017,826,0.535,2.739,15.892,Y,2.524,62.64254,-166.74871,X-03,23,26,11,8.6,137,44,15,1,0.012690789,69322,,,,,,,,,,,,,,,
-17234,162,201702,17,3,0,8112017,1157,0.524,2.866,14.723,Y,2.663,62.66072,-168.9003,X-18,33,36,12.6,1.3,137,44,15,1,0.01230242,69322,,,,,,,,,,,,,,,
-17325,162,201702,22,3,0,8142017,1907,0.536,3.045,15.718,Y,2.327,62.66808,-169.5996,X-19,38,40,7.3,6.9,183,44,15,2,0.013954125,69322,,,,,,,,,,,,,,,
-17354,162,201702,30,3,0,8162017,1401,0.531,3.044,16.111,Y,2.414,62.67032,-170.36448,X-20,40,42,7,3.8,183,44,15,2,0.014298326,69322,,,,,,,,,,,,,,,
-17355,162,201702,31,3,0,8162017,1650,0.524,2.857,16.429,Y,2.373,62.66837,-171.08539,X-21,43,45,4.7,0,183,44,15,1,0.01368483,69322,,,,,,,,,,,,,,,
-17364,162,201702,34,3,0,8172017,1444,0.497,2.725,15.416,Y,2.398,62.66896,-171.81505,X-22,47,49,8.1,-0.9,183,44,15,1,0.012247748,69322,,,,,,,,,,,,,,,
-17365,162,201702,35,3,0,8172017,1921,0.514,2.824,15.9,Y,2.255,62.66936,-172.45574,X-23,52,54,8.9,-0.8,183,44,15,1,0.013091212,69322,,,,,,,,,,,,,,,
-17368,162,201702,38,3,0,8182017,1359,0.492,2.761,17.919,Y,2.057,62.66956,-173.18391,X-24,62,64,9.2,-1.5,229,44,15,1,0.014424415,69322,,,,,,,,,,,,,,,
-17367,162,201702,37,3,5.1,8182017,1120,0.36,1.994,18.003,Y,2.118,62.66693,-173.9141,X-25,67,69,9.6,-1.5,229,44,15,1,0.010466177,69322,,,,,,,,,,,,,,,
-17366,162,201702,36,3,0,8182017,829,0.517,2.837,17.258,Y,2.15,62.67109,-174.63527,X-26,71,73,8.2,-1.4,274,44,15,1,0.014274728,69322,,,,,,,,,,,,,,,
-17431,162,201702,76,3,0,8292017,841,0.488,2.687,14.572,Y,2.956,63.00573,-168.22302,Y-01,37,40,9.2,7.7,137,44,15,1,0.011415761,69322,,,,,,,,,,,,,,,
-17434,162,201702,79,3,0,8292017,1821,0.513,2.884,14.791,Y,2.778,62.99925,-167.48401,Y-02,31,34,9.6,6.7,137,44,15,1,0.012436862,69322,,,,,,,,,,,,,,,
-17371,94,201702,24,3,0,8182017,1133,0.515,2.739,15.819,Y,2.377,62.99165,-166.75021,Y-03,26,28,9.1,5.8,137,44,15,1,0.012632494,69322,,,,,,,,,,,,,,,
-17372,94,201702,25,3,0,8182017,1425,0.527,2.851,15.35,Y,2.438,63.00171,-166.03441,Y-04,19,21,10.2,10.1,137,44,15,1,0.012759206,69322,,,,,,,,,,,,,,,
-17233,162,201702,16,3,0,8112017,759,0.54,3.037,15.071,Y,2.526,62.93308,-168.98958,Y-18,27,30,10.2,2,137,44,15,1,0.01334458,69322,,,,,,,,,,,,,,,
-17324,162,201702,21,3,0,8142017,1519,0.529,3.033,16.369,Y,2.383,62.94703,-170.46985,Y-20,40,42,4.1,1,183,44,15,2,0.014474801,69322,,,,,,,,,,,,,,,
-17323,162,201702,20,3,0,8142017,1130,0.536,2.952,17.048,N,2.033,62.99627,-171.11875,Y-21,45,47,6.2,-0.4,183,44,15,2,0.014672625,69322,,,,,,,,,,,,,,,
-17363,162,201702,33,3,0,8172017,1037,0.508,2.785,16.014,Y,2.268,63.00052,-171.79863,Y-22,51,53,8.5,-0.3,183,44,15,1,0.013002985,69322,,,,,,,,,,,,,,,
-17381,162,201702,43,3,0,8192017,1425,0.523,2.895,17.64,Y,1.999,63.00844,-172.60711,Y-23,59,61,8.4,-1.2,229,44,15,1,0.014888988,69322,,,,,,,,,,,,,,,
-17379,162,201702,41,3,0,8192017,1111,0.504,2.734,17.771,Y,1.923,62.99536,-173.23229,Y-24,66,68,9.5,-1.5,229,44,15,1,0.014165386,69322,,,,,,,,,,,,,,,
-17369,162,201702,39,3,0,8182017,1738,0.501,2.769,18.932,Y,1.918,62.99291,-174.00057,Y-25,72,74,10.4,-1.4,274,44,15,1,0.015284016,69322,,,,,,,,,,,,,,,
-17432,162,201702,77,3,0,8292017,1213,0.519,2.896,14.255,Y,3.081,63.32491,-168.24356,ZZ-01,24,27,9.6,7.8,137,44,15,1,0.012036045,69322,,,,,,,,,,,,,,,
-17433,162,201702,78,3,0,8292017,1539,0.516,2.872,14.648,Y,2.879,63.33061,-167.50802,ZZ-02,30,33,10.4,6.4,137,44,15,1,0.012265374,69322,,,,,,,,,,,,,,,
-17407,94,201702,53,3,0,8252017,1446,0.527,2.975,15.852,Y,2.248,63.30944,-166.78954,ZZ-03,24,26,9.8,6.7,137,44,15,1,0.013749569,69322,,,,,,,,,,,,,,,
-17373,94,201702,26,3,0,8182017,1726,0.532,2.867,15.564,Y,2.465,63.3369,-166.02704,ZZ-04,21,23,10.7,6.9,137,44,15,1,0.01300969,69322,,,,,,,,,,,,,,,
-17374,94,201702,27,3,6.21,8192017,829,0.528,2.708,14.852,Y,2.491,63.32452,-165.34078,ZZ-05,14,16,11.5,11.5,91,44,15,1,0.011726047,69322,,,,,,,,,,,,,,,
-17322,162,201702,19,3,4.1,8142017,809,0.529,2.9,15.068,N,2.645,63.261,-171.11632,ZZ-21,31,34,2.1,0.5,137,44,15,1,0.012740065,69322,,,,,,,,,,,,,,,
-17362,162,201702,32,3,1.12,8172017,812,0.315,1.703,17.192,Y,2.184,63.3188,-171.91757,ZZ-22,58,60,6.7,-0.3,229,44,15,1,0.008536092,69322,,,,,,,,,,,,,,,
-17382,162,201702,44,3,0,8192017,1658,0.524,2.954,16.363,Y,2.213,63.32529,-172.69137,ZZ-23,63,65,8.3,-1,229,44,15,1,0.014092611,69322,,,,,,,,,,,,,,,
-17378,162,201702,40,3,0,8192017,829,0.507,2.772,16.337,Y,2.262,63.33603,-173.41213,ZZ-24,69,71,9.1,-1.1,229,44,15,1,0.013203333,69322,,,,,,,,,,,,,,,
