Spcode.o,Spcode.n,Note
0,,unknown
1,1,fish egg
2,,Kelp
10,10,Lamprey
20,10,Lamprey
401,1,Skate Egg Case Unid.
436,1,Bering Skate Egg Case
471,,Alaska Skate
473,1,Aleutian Skate Egg Case
474,1,Alaska Skate Egg Case
10001,,flatfish unidentNone (prevNone flounder unidentNone)
10110,,Arrowtooth Flounder
10112,,Kamchatka Flounder
10115,,Greenland turbot
10120,,Pacific halibut
10130,,flathead sole
10140,,Bering flounder
10155,,Arctic flounder
10200,,rex sole
10210,,yellowfin sole
10211,,longhead dab
10212,,Sakhalin Sole
10220,10220,Stray_Flounder
10221,10220,Stray_Flounder
10240,,roughscale sole
10250,,sand sole
10260,,RocK_Sole
10261,,RocK_Sole
10262,,RocK_Sole
10270,,butter sole
10280,,curlfin sole
10281,,hornyhead turbot
10285,,Alaska plaice
10290,,C-O sole
10291,,None
10295,,Pleuronichthys ritteri
10400,,California tonguefish
20000,,poacher unidentNone
20001,,tubenose poacher
20006,,sawback poacher
20039,,Podothecus
20040,,sturgeon poacher
20041,,Veteran poacher
20050,,Aleutian Alligatorfish
20051,,Arctic alligatorfish
20060,,warty poacher
20061,,Bering poacher
20071,,Fourhorn Poacher
20202,,Sand_lance
20204,,Sand_lance
20322,,Bering wolffish
21110,,Pacific herring
21201,,Good
21300,,sculpin unidentNone
21313,,None
21314,,threaded sculpin
21315,,Arctic staghorn sculpin
21316,,Armorhead Sculpin
21329,,Purplegray Sculpin
21331,,None
21332,,bride sculpin  (Northern hookear sculpin)
21333,,Hookhorn sculpin
21334,,hamecon
21335,,Arctic hookear sculpin
21339,,None
21341,,darkfin sculpin
21342,,Irish lord
21345,,Longfin Irish Lord
21346,,red Irish lord
21347,,yellow Irish lord
21348,,butterfly sculpin
21350,,None
21353,,crescent-tail sculpin
21355,,ribbed sculpin
21356,,roughspine sculpin
21360,,brightbelly sculpin
21362,,Padded Sculpin
21368,,warty sculpin  (=shorthorned sculpin)
21370,,great sculpin
21371,,plain sculpin
21373,,frog sculpin
21375,,Myoxocephalus unidentified
21376,,belligerent sculpin
21377,,fourhorn sculpin
21378,,Arctic sculpin
21379,,Hairhead Sculpin
21380,,Pacific staghorn sculpin
21384,,None
21387,,leister sculpin
21388,,antlered sculpin
21390,,spinyhead sculpin
21393,,None
21394,,tadpole sculpin
21397,,crested sculpin
21404,,
21405,,eyeshade sculpin
21407,,Shortmast Sculpin
21415,,Good
21423,,smoothcheek sculpin
21438,,thorny sculpin
21441,,Spatulate Sculpin
21444,,Roughskin Sculpin
21446,,None
21592,,Pacific Sandfish
21720,21720,Pacific_cod
21721,21720,Pacific_cod
21722,21720,Pacific_cod
21725,,Arctic cod
21735,,saffron cod
21740,21740,walleye_pollock
21741,21740,walleye_pollock
21742,21740,walleye_pollock
21752,,Threespine Stickleback
21753,,ninespine stickleback
21900,,greenling unidentNone
21910,,lingcod
21915,,painted greenling
21921,,Atka mackerel
21930,,None
21931,,masked greenling
21932,,whitespotted greenling
21934,,rock greenling
21935,,kelp greenling
21936,,longspine combfish
21937,,ragfish
22178,,Pacific spiny lumpsucker
22182,,Pimpled Lumpsucker
22183,,Spiny Lumpsuckers
22200,,silfish unidentNone
22201,,Silfish unidentified
22205,,dusky silfish (prevNone variegated silfish)
22208,,Showy Snailfish
22213,,ringtail silfish
22226,,Monster Silfish
22232,,Peachskin Silfish
22236,,Salmon Silfish
22238,,Kelp Silfish
22254,,Nebulous Snailfish
22258,,Dusty Snailfish
22265,,Festive Snailfish
23010,,Eulachon
23041,,capelin
23055,,rainbow smelt
23201,,salmon and trouts unidentNone(prevNone salmon unidentNone)
23202,,Oncorhynchus
23220,,chinook salmon
23225,,coho salmon
23230,,Pink Salmon
23235,,chum salmon
23240,,sockeye salmon
23800,,Prickleback Unid.
23801,,None
23803,,fourline skeblenny
23804,,Arctic shanny
23805,,daubed shanny
23806,,stout eelblenny
23807,,slender eelblenny
23808,,ske prickleback
23809,,pighead prickleback
23836,,Longsnout Prickleback
23841,,decorated warbonnet
23843,,bearded warbonnet
24100,,eelpout unidentNone
24180,,None
24184,,marbled eelpout  (prevNone sparse toothed lycod)
24185,,wattled eelpout
24186,,Saddled Eelpout
24187,,ebony eelpout  (prevNone marbled eelpout)
24188,,Cadian eelpout
24189,,polar eelpout
24191,,shortfin eelpout
24192,,fish doctor
40001,,coelenterate unidentNone
40010,,None
40011,,Hydroid unidentNone
40020,,None
40034,,Abietinaria
40035,,Bushy White Hydroid
40049,,Sertulariid Hydroid
40050,,None
40500,,jellyfish unidentNone
40501,,chrysaora jellyfish
40503,,Helmet Jelly
40504,,Chrysaora melaster
40505,,Egg Yolk Jelly
40506,,Aequorea
40511,,Aurelia
40512,,Aurelia labiata
40515,,Sea Nettle
40519,,Whitecross Jelly
40520,,Brown Rimmed Jelly
40561,,Lion'S Mane Jelly
41000,,Anthozoa
41201,,sea raspberry
41221,,None
41500,,coral unidentNone
41520,,None
41530,,None
41540,,None
41550,,None
41570,,None
41580,,None
41582,,None
41600,,None
41700,,None
42001,,smoothstem seawhip
42003,,sea whip unidentNone
42004,,slender seawhip
42005,,roughstem seawhip
42008,,None
42010,,None
42015,,None
42017,,None
43000,,sea anemone unidentNone
43001,,Good
43009,,Corallimorphus
43010,,None
43020,,None
43021,,Gigantic Anemone
43030,,Stomphia
43032,,Swimming Anemone
43040,,Sea anemone
43042,,Mottled Anemone
43045,,Hot Dog Zoanthid
43082,,None
43100,,Actinostolidae
43110,,Good
44000,,stony coral unidentNone
45000,,comb jelly unidentNone
50000,,polychaete worm unidentNone
50001,,Worm Unid.
50010,,None
50301,,
53700,,Cat Worm Unid.
54000,,Nereididae
54030,,None
56300,,scale worm unidentNone
56310,,Eunoe
56311,,giant scale worm
56312,,depressed scale worm
56313,,good
57000,,sabellid unident.
59100,,Leech Unid.
59111,,striped sea leech
60100,,amphipod unidentNone
60101,,Iphinoe
60105,,Speckled Amphipod
60107,,Smooth Northern Amphipod
60110,,Gammarid Amphipod Unid.
60145,,Skeleton shrimps
62000,,isopod unidentNone
62020,,None
63000,,Cumacean Unid.
63500,,euphausiid unident.
64500,,copepod unident.
65000,,None
65100,,barcle unidentNone
65201,,None
65203,,giant barcle
65204,,crab barcle
65205,,beaked barcle
66000,,shrimp unidentNone
66019,,Pandalid Shrimp Unid.
66020,,None
66031,,Alaskan Pink Shrimp
66045,,humpy shrimp
66050,,coonstripe shrimp
66150,,hippolytid shrimp unidentNone
66163,,Da Blade Shrimp
66170,,None
66171,,Barbed Eualid
66175,,None
66179,,Greenland Shrimp
66193,,Shortscale Eualid
66200,,None
66203,,None
66204,,Polar lebbeid
66500,,crangonid shrimp unidentNone
66502,,None
66515,,twospine crangon
66530,,ridged crangon
66548,,sevenspine bay shrimp
66570,,None
66580,,Arctic argid
66600,,None
66601,,sculptured shrimp
66602,,saddleback shrimp
66611,,kuro argid
66612,,rough argid
66614,,split-eye argid
66750,,Pasiphaeid Shrimp Unid.
68000,,Unidentified crab
68501,,Oregonia
68510,,graceful decorator crab
68560,,Tanner crab(bairdi))
68577,,circumboreal toad crab (=hyas crab (round spined))
68578,,Pacific lyre crab
68580,,rrow snow crab(=tanner crab(opilio))
68590,,tanner crab (hybrid)
68781,,helmet crab
69000,,None
69010,,hermit crab unident
69035,,None
69042,,sponge hermit
69060,,Aleutian hermit
69061,,splendid hermit
69065,,None
69070,,Pagurus confragosus
69080,,None
69082,,whiteknee hermit
69085,,bluespine hermit
69086,,fuzzy hermit crab
69090,,Alaskan hermit
69095,,longfinger hermit
69120,,hairy hermit crab
69250,,stone crab unident
69290,,Lithodes
69312,,Wrinkled Crab
69316,,Soft crab
69320,,Hanasaki King Crab
69322,,red king crab
69323,,blue king crab
69332,,
69400,,Horsehair Crab
69520,,Hyas
70000,,mollusk unident.
70100,,chiton unidentNone
70108,,Gumboot chiton
70115,,None
71001,,Sil eggs
71002,,Buccinum
71004,,Sil eggs
71010,,nudibranch unidentNone
71012,,Giant Orange Tochui
71018,,Dendronotus
71020,,Dall Dendronotid
71025,,Tritonia
71026,,Festive Tritonia
71030,,Giant orange nudibranch
71202,,Chlamylla
71250,,Dorid nudibranch unidentified
71500,,sil unidentNone
71504,,None
71510,,Moonsil
71511,,Moonsil egg unid. 
71524,,Cryptotica
71525,,Moonsil
71526,,Arctic Moonsil
71530,,Arctic moonsil
71535,,None
71537,,rusty moonsil
71575,,None
71580,,pale moonsil
71583,,Lamellarid Unid.
71584,,Lamellaria
71585,,icy lamellaria
71586,,widemouth lamellaria
71589,,Warty Blobsil
71590,,Onchidiopsis
71634,,eroded turretsil
71639,,Slippersils
71640,,slipper shell
71681,,great slippersil
71710,,None
71713,,Colus Capponius
71721,,Thin-Ribbed Whelk
71722,,oblique whelk
71723,,shady whelk
71726,,thick-ribbed whelk
71731,,Shrew Whelk
71739,,Attenuate Melon Whelk
71750,,None
71751,,
71753,,warped whelk
71755,,left-hand whelk
71756,,fragile whelk
71759,,threaded whelk
71760,,volute whelk
71761,,Pyrulofusus melonis
71763,,shouldered whelk
71764,,tulip whelk
71769,,Beringius
71771,,None
71772,,None
71774,,None
71800,,None
71820,,Pribilof Whelk
71835,,None
71870,,lyre whelk
71882,,fat whelk
71884,,Northern Neptune
71886,,Helmet Whelk
71890,,Plicifusus
71891,,None
71894,,None
71895,,None
71896,,Seahorse Whelk
71910,,None
71911,,egg whelk
72019,,None
72022,,None
72059,,None
72060,,None
72063,,None
72100,,None
72103,,None
72181,,None
72300,,None
72303,,gray hairysil
72305,,two-keel hairysil
72370,,None
72401,,Bering Trophon
72403,,None
72406,,clathrate trophon
72420,,None
72510,,trochid unidentNone
72533,,giant margarite
72538,,Silvery Margarite
72540,,None
72541,,None
72543,,None
72551,,Bering Topsnail
72735,,good
72740,,None
72743,,None
72744,,finch whelk
72747,,Swollen Whelk
72751,,Sinuous Whelk
72752,,ladder whelk (prevNone silky whelk)
72755,,polar whelk
72756,,None
72757,,Good
72758,,glacial whelk
72759,,None
72760,,Chestnut Whelk
72775,,good
72784,,Buccinum Moarchianum
72785,,Transect Whelk
72795,,None
72800,,wavy lamellaria
72802,,oblique lamellaria
72803,,Conical Lamellaria
72805,,smooth lamellaria
72806,,Velutina
73185,,None
73351,,white chalice-bubble
74000,,bivalve unidentNone
74050,,mussel unidentNone
74060,,Northern horsemussel
74065,,Mytilus
74075,,Foolish Mussel
74080,,blue mussel (prevNone bay mussel)
74100,,Scallop Unid.
74104,,Chlamys
74310,,Hiatella
74311,,Arctic hiatella
74322,,Arctic Roughmya
74414,,Yoldia unidentified
74416,,Crisscrossed Yoldia
74417,,None
74420,,Northern Yoldia
74425,,None
74435,,None
74436,,Northern Nutclam
74560,,None
74561,,black mussel
74562,,discordant mussel
74639,,crenulate astarte
74640,,None
74641,,boreal tridonta
74646,,Astarte Arctica
74654,,thick carditid
74655,,many-rib cyclocardia
74656,,Cyclocardia
74980,,cockle unidentNone
74981,,cockle unidentNone
74982,,Nuttall cockle
74983,,hairy cockle
74985,,California cockle
74986,,Low-Rib Cockle
75021,,Butter Clam
75102,,Pacific gaper  (prevNone horse neck clam)
75110,,None
75111,,Arctic surfclam (prevNone  Alaska surf clam)
75201,,Tellina
75205,,Alaska Great-Tellin
75240,,None
75241,,bent-nose macoma (prevNone common macoma)
75242,,chalky macoma
75247,,heavy macoma
75248,,Pointed Macoma
75264,,Chalky Macoma
75266,,Siliqua
75267,,Alaska razor   (prevNone northern razor clam)
75284,,None
75285,,Greenland cockle
75286,,broad cockle
75287,,Oblique Smoothcockle
75330,,None
75331,,Mya Baxteri
75332,,softshell  (prevNone soft shelled clam)
75333,,Macoma clam
75335,,false softshell
75336,,elegant soft shell
75372,,None
75381,,Shipworm unidentNone
75382,,feathery shipworm
75410,,sandy lyonsia
75551,,None
75600,,Alaska falsejingle  (prevNone rock jingle)
75609,,None
75610,,falsejingles unidentNone(prevNonerock jingles unidentNone)
75752,,
77000,,scaphopod unidentNone
77011,,None
77012,,Dall tuskshell
78000,,cephalopod unidentNone
78001,,cuttlefish unidentNone
78010,,octopus unidentNone
78011,,pelagic octopus unidentNone
78012,,smoothskin octopus
78013,,Benthoctopus Sibiricus
78030,,flapjack devilfish
78403,,giant octopus
78452,,None
78454,,Pygmy Benthoctopus
78502,,None
79000,,squid unidentNone
79001,,rhomboid squid
79020,,eastern Pacific bobtail
79120,,Loligo opalescens
79200,,None
79201,,clawed armhook squid
79202,,Berry armhook squid
79203,,None
79204,,None
79210,,magistrate armhook squid  (prevNone red squid)
79250,,None
79252,,None
79254,,None
79260,,flying squid
79302,,robust clubhook squid
79310,,None
79311,,None
79312,,boreal clubhook squid
79351,,None
79352,,None
79404,,None
79442,,None
79504,,None
79510,,None
79512,,None
80000,,starfish unidentNone
80010,,None
80015,,None
80020,,None
80110,,None
80111,,None
80200,,None
80201,,Lethasterias Sp.
80540,,Black-spined sea star
80542,,None
80544,,None
80546,,None
80590,,None
80591,,Leptasterias Katharinae
80594,,None
80595,,None
81060,,Solaster
81065,,Striped Sun Sea Star
81071,,Fisher Sun Star
81090,,None
81092,,None
81095,,rose sea star
81310,,None
81315,,None
81322,,Pteraster Octaster
81355,,Obscure sea star
81360,,None
81370,,None
81741,,None
81742,,purple-orange seastar
81780,,Common Mud Star
81835,,North Pacific Sea Star
82500,,sea urchin unidentNone
82510,,green sea urchin
82511,,Strongylocentrotus
82530,,orange-pink sea urchin
82730,,sand dollar unidentNone
82740,,Parma sand dollar
83000,,brittlestarfish unidentNone
83010,,basketstarfish unidentNone
83020,,basketstarfish 
83021,,Gorgonocephalus Arcticus
83310,,Ophiura
83311,,Ophiura Cryptolepis
83320,,None
83336,,Stegophiura nodosa
83390,,Ophiopholis Longispina
83392,,Ophiopholis Kennerleyi
83400,,None
85000,,sea cucumber unidentNone
85085,,Myriotrochus Rinkii
85169,,Crescent Sea Cucumber
85170,,Pentamera
85180,,Bathyplotes sp
85200,,None
85201,,Sea Football
85203,,
85210,,None
85219,,Brownscaled Sea Cucumber
85220,,Whitescaled Sea Cucumber
85289,,Synallactes
85290,,Syllactes challengeri
91000,,sponge unidentNone
91015,,Suberites
91017,,Wax Sponge
91049,,Halichondria
91050,,Barrel Sponge
91050,,barrel sponge
91063,,Hat Sponge
91261,,Monanchora Alaskensis
92000,,Flatworm Unid.
92500,,Nemertean Worm Unid.
92900,,Good
93100,,Priapulid Worm Unid.
93500,,Nematode Worm Unid.
94000,,sipunculid worm unidentNone
94500,,Echiurid worm unidentified
95000,,bryozoan
95006,,bryozoan
95007,,bryozoan
95010,,bryozoan
95017,,bryozoan
95020,,bryozoan
95030,,bryozoan
95031,,bryozoan
95035,,bryozoan
95036,,bryozoan
95037,,bryozoan
95038,,bryozoan
95039,,bryozoan
95040,,bryozoan
95041,,bryozoan
95050,,bryozoan
95060,,bryozoan
95070,,bryozoan
95071,,bryozoan
95080,,bryozoan
95100,,None
95105,,Dendrobeania
97000,,brachiopod unidentNone
97110,,None
97115,,None
97116,,None
98000,,Turnicate
98001,,Turnicate
98002,,Turnicate
98070,,Salp Unid.
98080,,Styela
98082,,sea potato
98100,,Boltenia
98105,,Boltenia
98200,,Sea_peach
98204,,Sea_peach
98205,,Sea_peach
98212,,Sea_peach
98213,,Sea_peach
98214,,Sea_peach
98300,,Sea_glob
98310,,Sea_glob
98311,,Sea_glob
98312,,Sea_glob
98320,,Sea_glob
99900,,None
99904,,Sea Clod
99990,,invertebrate unidentNone
99991,,Eggs_Shells
99993,,Eggs_Shells
99994,,Eggs_Shells
99997,,Eggs_Shells
99998,,Eggs_Shells
99999,,Debries
