# Station.csv ,,,,,,,
"# This includes standard station lat long and ADFG, NMFS station conversion and Area the station represents",,,,,,,
"# ADFG_Tier:  C: core. Tier 1, 2, 3, O: station within NS but out of standard Survey station,  ONS: stations out of Norton Sound",,,,,,,
"# NOAA_tier S: NBS survey station,  CPT_STD: S  1976-91 NMFS standard stations   ",,,,,,,
#,,,,,,,
#,,,,,,,
Latitude,Longitude,ADFG_Station,NMFS_Station,Area_Nm2,ADFG_tier,NOAA_tier,CPT_STD
63,-164.97,1,A11,100,O,O,O
63,-165.3355,2,A12,100,O,O,O
63,-165.701,3,A13,100,O,O,O
63,-166.0665,4,A14,100,O,O,O
63,-166.432,5,A15,225,O,O,O
63,-166.7973333,6,A16,225,O,O,O
63,-167.1628333,7,A17,225,ONS,O,O
63,-167.5283333,8,A18,225,ONS,O,O
63,-167.8938333,9,A19/N009,225,ONS,O,O
63.0305,-168.61775,10,A21/N009AB,225,ONS,O,O
63.06666667,-169.1166667,11,A22,,ONS,O,O
63.1667,-163.0775,15,B06,100,O,O,O
63.1667,-163.456,16,B07,100,O,O,O
63.16666667,-164.97,17,B11,100,O,O,O
63.16666667,-165.3375,18,B12,100,O,O,O
63.16666667,-165.7051667,19,B13,100,O,O,O
63.16666667,-166.0726667,20,B14,100,O,O,O
63.16666667,-166.4403333,21,B15,225,O,O,O
63.16666667,-166.8078333,22,B16,225,O,O,O
63.16666667,-167.1755,23,B17,225,ONS,O,O
63.16666667,-167.543,24,B18/N024,225,ONS,O,O
63.16666667,-167.9106667,25,B19/N025,225,ONS,O,O
63.21941667,-168.5448333,26,B21/N044A,,ONS,O,O
63.33333333,-162.7518333,30,C05,100,O,O,O
63.33333333,-163.1215,31,C06,100,O,O,O
63.33333333,-163.4911667,32,C07,100,O,O,O
63.33333333,-163.8608333,33,C08,100,O,O,O
63.33333333,-164.2306667,34,C09,100,O,O,O
63.33333333,-164.6003333,35,C10,100,O,O,O
63.33333333,-164.97,36,C11,100,O,O,O
63.33333333,-165.3396667,37,C12,100,O,O,O
63.33333333,-165.7093333,38,C13,100,O,S,O
63.33333333,-166.0791667,39,C14,100,O,S,O
63.33333333,-166.4488333,40,C15,225,O,S,O
63.33333333,-166.8185,41,C16,225,O,O,O
63.33333333,-167.1881667,42,C17,225,ONS,O,O
63.33333333,-167.558,43,C18,225,ONS,O,O
63.33333333,-167.9276667,44,C19/N044,225,ONS,O,O
63.5,-162.7388333,48,D05,100,O,O,O
63.5,-163.1106667,49,D06,100,O,O,O
63.5,-163.4825,50,D07,100,O,O,O
63.5,-163.8545,51,D08,100,O,O,O
63.5,-164.2263333,52,D09,100,O,O,O
63.5,-164.5981667,53,D10,100,O,O,O
63.5,-164.97,54,D11,100,O,O,O
63.5,-165.3418333,55,D12,100,O,O,O
63.5,-165.7136667,56,D13,100,O,S,O
63.5,-166.0855,57,D14,100,O,S,O
63.5,-166.4575,58,D15,225,O,S,O
63.5,-166.8293333,59,D16,225,O,O,O
63.5,-167.2011667,60,D17,225,ONS,O,O
63.5,-167.573,61,D18/N061,225,ONS,O,O
63.5,-167.9448333,62,D19/N062,225,ONS,O,O
63.53333333,-168.2166667,63,D20,225,ONS,O,O
63.4945,-168.82925,64,D21/N064,225,ONS,O,O
63.5815,-169.3924167,65,E22/N065,,ONS,O,O
63.71666667,-169.4333333,66,E23,,ONS,O,O
63.66666667,-161.2296667,68,E01,100,t2,O,O
63.66666667,-161.6036667,69,E02,100,t2,O,O
63.66666667,-161.9776667,70,E03,100,t2,O,O
63.66666667,-162.3516667,71,E04,100,O,O,O
63.66666667,-162.7258333,72,E05,100,O,O,O
63.66666667,-163.0998333,73,E06,100,O,O,O
63.66666667,-163.4738333,74,E07,100,O,O,O
63.66666667,-163.8478333,75,E08,100,O,O,O
63.66666667,-164.222,76,E09,100,O,O,O
63.66666667,-164.596,77,E10,100,O,O,O
63.66666667,-164.97,78,E11,100,t1,O,O
63.66666667,-165.344,79,E12,100,t1,S,S
63.66666667,-165.718,80,E13,100,t1,S,S
63.66666667,-166.0921667,81,E14,100,t1,S,S
63.66666667,-166.4661667,82,E15,100,t1,S,S
63.66666667,-166.8401667,83,E16,225,O,O,O
63.66666667,-167.2141667,84,E17/N084,225,ONS,O,O
63.66666667,-167.5883333,85,E18,225,ONS,O,O
63.66666667,-167.9623333,86,E19/N086,225,ONS,O,O
63.764,-168.8696667,88,E21,,ONS,O,O
63.83333333,-161.2075,93,F01,100,t2,O,O
63.83333333,-161.5838333,94,F02,100,t2,S,S
63.83333333,-161.96,95,F03,100,t2,S,S
63.83333333,-162.3363333,96,F04,100,t3,S,O
63.83333333,-162.7125,97,F05,100,t3,S,O
63.83333333,-163.0888333,98,F06,100,t3,S,S
63.83333333,-163.465,99,F07,100,t3,S,S
63.83333333,-163.8413333,100,F08,100,t3,S,S
63.83333333,-164.2175,101,F09,100,t3,S,S
63.83333333,-164.5938333,102,F10,100,t3,S,S
63.83333333,-164.97,103,F11,100,t1,S,S
63.83333333,-165.3461667,104,F12,100,t1,S,S
63.83333333,-165.7225,105,F13,100,t1,S,S
63.83333333,-166.0986667,106,F14,100,t1,S,S
63.83333333,-166.475,107,F15,100,t1,S,S
63.83333333,-166.8511667,108,F16,225,O,O,O
63.83333333,-167.2275,109,F17,225,ONS,O,O
63.83333333,-167.6036667,110,F18/N110,225,ONS,O,O
63.83333333,-167.98,111,F19,225,ONS,O,O
63.76911111,-168.3361111,112,F20/N087,225,ONS,O,O
63.76666667,-168.8833333,113,F21,100,ONS,O,O
64,-161.1851667,120,G01,100,t2,O,O
64,-161.5636667,121,G02,100,t2,S,S
64,-161.9421667,122,G03,100,t2,S,S
64,-162.3206667,123,G04,100,c,S,S
64,-162.699,124,G05,100,c,S,S
64,-163.0775,125,G06,100,c,S,S
64,-163.456,126,G07,100,c,S,S
64,-163.8345,127,G08,100,c,S,S
64,-164.213,128,G09,100,c,S,S
64,-164.5915,129,G10,100,c,S,S
64,-164.97,130,G11,100,c,S,S
64,-165.3485,131,G12,100,c,S,S
64,-165.727,132,G13,100,c,S,S
64,-166.1055,133,G14,100,c,S,S
64,-166.484,134,G15,100,c,S,S
64,-166.8625,135,G16,100,t1,S,S
64,-167.241,136,G17,225,ONS,O,O
64,-167.6193333,137,G18/N137,225,ONS,O,O
64,-167.9978333,138,G19,225,ONS,O,O
64.019,-168.3145833,139,G20,225,ONS,O,O
64.03641667,-168.9444167,140,G21/N140,,ONS,O,O
64.01783333,-169.43325,141,G23/N141,,ONS,O,O
64.16666667,-161.1625,147,H01,100,t2,O,O
64.16666667,-161.5431667,148,H02,100,t2,S,S
64.16666667,-161.924,149,H03,100,t2,S,S
64.16666667,-162.3046667,150,H04,100,c,S,S
64.16666667,-162.6855,151,H05,100,c,S,S
64.16666667,-163.0661667,152,H06,100,c,S,S
64.16666667,-163.447,153,H07,100,c,S,S
64.16666667,-163.8276667,154,H08,100,c,S,S
64.16666667,-164.2085,155,H09,100,c,S,S
64.16666667,-164.5891667,156,H10,100,c,S,S
64.16666667,-164.97,157,H11,100,c,S,S
64.16666667,-165.3508333,158,H12,100,c,S,S
64.16666667,-165.7315,159,H13,100,c,S,S
64.16666667,-166.1123333,160,H14,100,c,S,S
64.16666667,-166.493,161,H15,100,c,S,S
64.16666667,-166.8738333,162,H16,100,O,O,O
64.16666667,-167.2545,163,H17/N163,225,ONS,O,O
64.16666667,-167.6353333,164,H18/N164,225,ONS,O,O
64.16666667,-168.016,165,H19/N165,225,ONS,O,O
64.249,-168.3676667,166,H20,225,ONS,O,O
64.26658333,-168.9496667,167,H21/N166,,ONS,O,O
64.27491667,-169.5740833,169,H23/N168,,ONS,O,O
64.33333333,-161.5225,174,I02,100,t2,S,S
64.33333333,-161.9055,175,I03,100,t2,S,S
64.33333333,-162.2886667,176,I04,100,c,S,S
64.33333333,-162.6716667,177,I05,78.1,O,S,O
64.33333333,-163.0546667,178,I06,89.8,O,S,O
64.33333333,-163.4378333,179,I07,100,c,S,S
64.33333333,-163.8208333,180,I08,100,c,S,S
64.33333333,-164.2038333,181,I09,100,c,S,S
64.33333333,-164.587,182,I10,100,c,S,S
64.33333333,-164.97,183,I11,100,c,S,S
64.33333333,-165.353,184,I12,100,c,S,S
64.33333333,-165.7361667,185,I13,100,c,S,S
64.33333333,-166.1191667,186,I14,100,c,S,S
64.33333333,-166.5021667,187,I15,100,c,S,S
64.33333333,-166.8853333,188,I16,100,O,S,O
64.33333333,-167.2683333,189,I17/N189,225,ONS,O,O
64.33333333,-167.6513333,190,I18/N190,225,ONS,O,O
64.33333333,-168.0345,191,I19/N191,225,ONS,O,O
64.26666667,-170.6833333,198,I26,,ONS,O,O
64.5,-161.8868333,200,J03,100,O,O,O
64.5,-162.2723333,201,J04,91.2,O,S,O
64.5,-163.5481667,201.5,J07,,c,S,O
64.5,-163.8138333,202,J08,85.6,c,S,S
64.5,-164.1991667,203,J09,82.8,c,S,S
64.5,-165.7408333,204,J13,61.4,O,S,O
64.5,-166.0833333,205,J14,78.1,O,S,O
64.5,-166.5115,206,J15,100,O,S,O
64.5,-166.897,207,J16,100,O,S,O
64.5,-167.2823333,208,J17,225,ONS,O,O
64.5,-167.6676667,209,J18/N209,225,ONS,O,O
64.5,-168.0531667,210,J19/N210,225,ONS,O,O
64.48533333,-168.4831667,211,J20/N211,225,ONS,O,O
64.53258333,-169.05125,213,J22,,ONS,O,O
64.48433333,-169.5801667,214,J23,,ONS,O,O
64.66666667,-161.0925,219,K01,100,O,O,O
64.66666667,-161.4801667,220,K02,100,O,O,O
64.66666667,-161.868,221,K03,100,O,O,O
64.66666667,-166.521,222,K15,67.4,O,S,O
64.66666667,-166.9088333,223,K16,100,O,S,O
64.66666667,-167.2965,224,K17,225,ONS,O,O
64.66666667,-167.6843333,225,K18/N225,225,ONS,O,O
64.66666667,-168.072,226,K19/N226,225,ONS,O,O
64.74725,-168.4125278,227,K20/N239,225,ONS,O,O
,,228,K21,225,ONS,O,O
64.73725,-169.57625,230,K23,225,ONS,O,O
64.83333333,-166.5306667,234,L15,225,ONS,O,O
64.83333333,-166.9206667,235,L16,225,ONS,O,O
64.83333333,-167.3108333,236,L17/N236,225,ONS,O,O
64.83333333,-167.701,237,L18/N237,225,ONS,O,O
64.83333333,-168.0911667,238,L19/N238,225,ONS,O,O
64.76666667,-169.05,240,L21,225,ONS,O,O
65,-166.9328333,245,M16,225,ONS,O,O
65,-167.3255,246,M17,225,ONS,O,O
65,-167.718,247,M18/N301A,225,ONS,O,O
65,-168.1106667,248,M19,225,ONS,O,O
64.98254167,-168.4670834,249,M20/N302A,225,ONS,O,O
65,-169.0666667,250,M21,225,ONS,O,O
65,-169.5,252,M23,225,ONS,O,O
63.3333,-162.3207,253,C04,225,ONS,O,O
65.1785,-167.6016667,340,N18/N30B,225,ONS,O,O
65.27658333,-166.6520833,341,O15,,ONS,O,O
65.30870833,-166.7367084,342,O16/G/H,,ONS,O,O
65.31408333,-167.4908333,344,O17A/N303A,,ONS,O,O
65.32,-167.0949167,345,O17/I,,ONS,O,O
65.34225,-167.6768333,346,O17B/N303B,,ONS,O,O
65.36741667,-167.9294167,347,O17C/N303C,,ONS,O,O
65.529,-168.4761667,348,P20/N305,,ONS,O,O
65.20516667,-168.2486667,601,601,,ONS,O,O
65.18483333,-168.766,602,602,,ONS,O,O
65.08316667,-168.5153333,603,603,,ONS,O,O
65.01983333,-168.2711667,604,604,,ONS,O,O
64.90466667,-168.5771667,605,605,,ONS,O,O
64.8525,-168.9288333,606,606,,ONS,O,O
64.85216667,-169.3531667,607,607,,ONS,O,O
64.792,-167.9891667,608,608,,ONS,O,O
64.952,-168.0538333,609,609,,ONS,O,O
64.94233333,-167.9998333,610,610,,ONS,O,O
65.31233333,-166.8896667,611,PC-01,100,O,O,O
65.30416667,-166.5081667,612,PC03,100,O,O,O
65.2995,-166.9181667,613,C-14,100,O,O,O
65.29866667,-167.0003333,614,C-16,100,O,O,O
65.27383333,-167.0835,615,C-18,100,O,O,O
65.29983333,-167.0825,616,C-14,100,O,O,O
65.32483333,-167.0001667,617,C-17,100,O,O,O
