"","ADFG_Station","Latitude","Longitude","NMFS_Station","Area_Nm2","ADFG_tier","NOAA_tier","CPT_STD","1976_NOAA","1979_NOAA","1982_NOAA","1985_NOAA","1988_NOAA","1991_NOAA","1996_ADFG","1999_ADFG","2002_ADFG","2006_ADFG","2008_ADFG","2010_NBS","2011_ADFG","2014_ADFG","2017_ADFG","2017_NBS","2018_ADFG","2019_ADFG","2019_NBS","2020_ADFG","2021_ADFG","2021_NBS","2022_NBS","2023_ADFG","2023_NBS"
"83",131,64,-165.3485,"G12",100,"c","S","S",76750.8548925952,8101.47912755171,426116.759306291,15885.2531912779,7501.36956254788,372006.694632477,11087.7907767587,0,11684.825664738,45570.8200924784,30380.5467283189,292409.470172699,30380.5467283189,15190.2733641595,30380.5467283189,148283.640388772,15190.2733641595,15190.2733641595,650801.167976501,288615.19391903,15190.2733641595,69820.1484100422,163715.561086605,106331.913549116,32598.0020847996
"84",132,64,-165.727,"G13",100,"c","S","S",189878.417051993,8101.47912755171,15989.7614359573,16202.9582551034,7409.88944593144,53165.9567745581,57538.9142581798,15190.2733641595,131649.035822715,167093.007005754,45570.8200924784,NA,136712.460277435,349376.287375668,30380.5467283189,NA,60761.0934566378,592420.661202219,NA,75951.3668207973,15190.2733641595,NA,NA,136712.460277435,NA
"85",133,64,-166.1055,"G14",100,"c","S","S",81014.7912755171,85780.3672329005,186334.019933689,57090.9602948275,39974.4035898933,8155.85147068964,50634.2445471982,0,NA,15190.2733641595,15190.2733641595,31688.2319894026,0,91141.6401849568,258234.647190711,181874.848888942,15190.2733641595,273424.92055487,164641.14816501,30380.5467283189,0,284840.289187987,450884.039033905,60761.0934566378,583077.393119769
"86",134,64,-166.484,"G15",100,"c","S","S",0,20253.6978188793,15480.5333647485,52835.7334405546,7994.88071797866,26806.3647602814,0,0,10850.1952601139,13809.3394219631,0,NA,0,0,0,NA,0,0,NA,15190.2733641595,0,NA,NA,0,NA
"87",135,64,-166.8625,"G16",100,"O","S","S",NA,NA,NA,0,0,NA,0,0,10850.1952601139,15190.2733641595,0,30405.0468579017,0,0,0,171277.28031349,NA,NA,460463.012033566,NA,NA,31998.5825195447,0,NA,57681.3435176326
"88",136,64,-167.241,"G17",225,"ONS","O","O",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",137,64,-167.6193333,"G18/N137",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,35391.1205114039,NA,NA,0,NA,NA,0,0,NA,0
"90",139,64.019,-168.3145833,"G20",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"91",147,64.16666667,-161.1625,"H01",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30380.5467283189,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",148,64.16666667,-161.5431667,"H02",100,"t2","S","S",6395.90457438293,0,8266.81543627726,8155.85147068964,0,NA,NA,NA,21700.3905202278,45570.8200924784,15190.2733641595,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA
"93",149,64.16666667,-161.924,"H03",100,"t2","S","S",19187.7137231488,NA,NA,NA,NA,NA,NA,NA,21700.3905202278,NA,0,NA,0,NA,30380.5467283189,NA,NA,0,NA,0,NA,NA,NA,0,NA
"94",150,64.16666667,-162.3046667,"H04",100,"c","S","S",24304.4373826551,0,NA,32623.4058827586,24304.4373826551,NA,21700.3905202278,69046.6971098157,0,0,30380.5467283189,NA,15190.2733641595,30380.5467283189,15190.2733641595,NA,0,15190.2733641595,NA,0,15190.2733641595,NA,NA,NA,NA
"95",151,64.16666667,-162.6855,"H05",100,"c","S","S",18003.2869501149,NA,NA,NA,NA,NA,10333.5192953466,151902.733641595,30380.5467283189,27618.6788439263,15190.2733641595,NA,45570.8200924784,45570.8200924784,15190.2733641595,NA,0,15190.2733641595,NA,15190.2733641595,15190.2733641595,NA,NA,60761.0934566378,NA
"96",152,64.16666667,-163.0661667,"H06",100,"c","S","S",31979.5228719147,NA,47040.8465470745,16996.1100578008,47969.284307872,248568.109595337,10263.6982190267,337561.630314655,0,45570.8200924784,106331.913549116,NA,62425.7809486005,30380.5467283189,30380.5467283189,NA,0,0,NA,0,0,NA,NA,0,NA
"97",153,64.16666667,-163.447,"H07",100,"c","S","S",30380.5467283189,13502.4652125862,7409.88944593144,43092.9740827219,223047.05192943,132269.046980436,0,303805.467283189,15190.2733641595,0,15190.2733641595,NA,45570.8200924784,15190.2733641595,30380.5467283189,NA,NA,0,NA,0,0,NA,NA,0,NA
"98",154,64.16666667,-163.8276667,"H08",100,"c","S","S",60761.0934566378,16202.9582551034,22643.8857602377,92189.245244554,463303.337606863,1059213.65620355,28481.762557799,75951.3668207973,15190.2733641595,15190.2733641595,15190.2733641595,NA,30380.5467283189,15190.2733641595,121522.186913276,NA,NA,30380.5467283189,NA,0,15190.2733641595,NA,NA,15190.2733641595,NA
"99",155,64.16666667,-164.2085,"H09",100,"c","S","S",12152.2186913276,7595.13668207973,198715.525770136,83808.4047677763,203794.971842139,7691.27765273897,43400.7810404556,50634.2445471982,45570.8200924784,15190.2733641595,45570.8200924784,NA,30380.5467283189,91141.6401849568,15190.2733641595,NA,121522.186913276,0,NA,30380.5467283189,45570.8200924784,NA,NA,45570.8200924784,NA
"100",156,64.16666667,-164.5891667,"H10",100,"c","S","S",141775.884732155,0,15190.2733641595,24632.875725664,0,0,15989.7614359573,75951.3668207973,10126.8489094396,30380.5467283189,45570.8200924784,NA,45570.8200924784,15190.2733641595,0,NA,15190.2733641595,0,NA,15190.2733641595,0,NA,NA,30380.5467283189,NA
"101",157,64.16666667,-164.97,"H11",100,"c","S","S",236293.141220258,8101.47912755171,53500.3338611905,16761.6809535553,0,7994.88071797866,10928.2542188198,12658.5611367996,40507.3956377586,15190.2733641595,0,NA,0,NA,0,NA,0,0,NA,0,91141.6401849568,NA,NA,15190.2733641595,NA
"102",158,64.16666667,-165.3508333,"H12",100,"c","S","S",128273.419519569,8101.47912755171,31360.5643647163,40507.3956377586,0,95311.5191476672,0,15190.2733641595,21700.3905202278,15190.2733641595,15190.2733641595,NA,15190.2733641595,0,0,NA,30380.5467283189,30380.5467283189,NA,15190.2733641595,60761.0934566378,NA,NA,60761.0934566378,NA
"103",159,64.16666667,-165.7315,"H13",100,"c","S","S",114770.954306983,0,23827.8797869168,79948.8071797866,52509.5869378352,83027.5811208716,11684.825664738,0,32550.5857803417,75951.3668207973,243044.373826551,NA,106331.913549116,60761.0934566378,15190.2733641595,NA,45570.8200924784,15190.2733641595,NA,212663.827098232,75951.3668207973,NA,NA,91141.6401849568,NA
"104",160,64.16666667,-166.1123333,"H14",100,"c","S","S",189878.417051993,28593.4557443002,329285.925829521,158145.311736455,60010.9565003831,25494.1650867012,84390.4075786637,0,10850.1952601139,167093.007005754,0,NA,45570.8200924784,0,151902.733641595,NA,0,106331.913549116,NA,0,0,NA,NA,45570.8200924784,NA
"105",161,64.16666667,-166.493,"H15",100,"c","S","S",16202.9582551034,0,NA,24467.5544120689,216727.467106479,23369.6513294761,96446.1800899013,16878.0815157327,0,0,0,NA,15190.2733641595,15190.2733641595,30380.5467283189,NA,0,0,NA,0,15190.2733641595,NA,NA,45570.8200924784,NA
"106",162,64.16666667,-166.8738333,"H16",100,"O","O","O",NA,NA,NA,0,0,22366.046671155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",163,64.16666667,-167.2545,"H17/N163",225,"ONS","O","O",0,0,17870.9098401876,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",164,64.16666667,-167.6353333,"H18/N164",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",165,64.16666667,-168.016,"H19/N165",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",166,64.249,-168.3676667,"H20",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",174,64.33333333,-161.5225,"I02",100,"t2","S","S",30380.5467283189,0,14729.962050094,0,0,NA,NA,NA,NA,0,NA,26478.1235373654,NA,NA,NA,0,NA,NA,0,NA,NA,0,198615.410828569,NA,0
"112",175,64.33333333,-161.9055,"I03",100,"t2","S","S",14296.7278721501,NA,NA,NA,NA,NA,NA,NA,NA,0,30380.5467283189,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA
"113",176,64.33333333,-162.2886667,"I04",100,"c","S","S",NA,16202.9582551034,23220.8000471227,10386.5117019894,0,NA,10850.1952601139,0,0,45570.8200924784,15190.2733641595,30260.2509930799,136712.460277435,440517.927560624,NA,64622.7024732897,0,0,0,NA,0,33030.5312292788,0,0,0
"114",177,64.33333333,-162.6716667,"I05",78.1,"O","S","O",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",178,64.33333333,-163.0546667,"I06",89.8,"O","S","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,26921.8295689237,NA,NA,0,NA,NA,31114.1995491595,0,NA,81528.991370111
"116",179,64.33333333,-163.4378333,"I07",100,"c","S","S",14296.7278721501,0,44189.8861502821,70108.9539884283,NA,NA,18987.8417051993,33756.1630314655,NA,0,15190.2733641595,NA,15190.2733641595,91141.6401849568,0,NA,0,0,NA,0,0,NA,NA,0,NA
"117",180,64.33333333,-163.8208333,"I08",100,"c","S","S",5523.73576878526,NA,22504.1086876436,8618.59481654438,15382.5553054779,7789.88377649203,17870.9098401876,41428.0182658894,30380.5467283189,15190.2733641595,15190.2733641595,87322.7206563509,45570.8200924784,15190.2733641595,15190.2733641595,372879.382626159,0,0,0,15190.2733641595,15190.2733641595,142284.130985982,29853.3854889692,15190.2733641595,32770.2185430737
"118",181,64.33333333,-164.2038333,"I09",100,"c","S","S",12791.8091487659,16202.9582551034,7024.4038678194,16878.0815157327,0,0,0,60761.0934566378,0,0,15190.2733641595,NA,0,0,45570.8200924784,NA,30380.5467283189,0,NA,0,0,NA,NA,15190.2733641595,NA
"119",182,64.33333333,-164.587,"I10",100,"c","S","S",94517.2564881033,0,30191.8476803169,7891.05109826465,16311.7029413793,21319.6819146098,0,151902.733641595,15190.2733641595,15190.2733641595,NA,168234.670184606,0,0,0,0,15190.2733641595,0,30411.28424156,15190.2733641595,0,66201.8798770924,0,0,0
"120",183,64.33333333,-164.97,"I11",100,"c","S","S",627864.632385258,16202.9582551034,126256.817572234,611634.848040328,0,0,271254.881502848,421952.037893318,713942.848115495,15190.2733641595,410137.380832305,NA,91141.6401849568,60761.0934566378,15190.2733641595,NA,91141.6401849568,91141.6401849568,NA,60761.0934566378,15190.2733641595,NA,NA,345233.485549079,NA
"121",184,64.33333333,-165.353,"I12",100,"c","S","S",142967.278721501,0,85688.7215414123,114953.420053099,0,56710.353892862,0,88609.9279575969,167093.007005754,45570.8200924784,744323.394843814,884704.841548459,394947.107468146,258234.647190711,75951.3668207973,30233.211373185,60761.0934566378,151902.733641595,220817.046806057,60761.0934566378,243044.373826551,270714.199287431,25909.6815336025,745704.32878601,232850.942532858
"122",185,64.33333333,-165.7361667,"I13",100,"c","S","S",NA,48608.8747653103,57867.7080539408,41334.0771813863,52509.5869378352,76385.3746312019,34786.8855667774,60761.0934566378,43400.7810404556,364566.560739827,197473.553734073,NA,379756.834103987,440517.927560624,151902.733641595,NA,30380.5467283189,30380.5467283189,NA,75951.3668207973,1473456.51632347,NA,NA,774703.941572133,NA
"123",186,64.33333333,-166.1191667,"I14",100,"c","S","S",8101.47912755171,72913.3121479654,148962.680732402,164219.171504427,53500.3338611905,47346.3065895879,12055.7725112377,18987.8417051993,32550.5857803417,1245602.41586108,45570.8200924784,94073.71819979,410137.380832305,2764629.75227702,30380.5467283189,32375.7103718225,0,106331.913549116,175460.544570321,30380.5467283189,30380.5467283189,842101.296269606,53263.8807717029,212663.827098232,342529.480630998
"124",187,64.33333333,-166.5021667,"I15",100,"c","S","S",NA,NA,50634.2445471982,108204.686977574,576046.73017332,18412.4525626175,67015.9119007035,11684.825664738,11684.825664738,15190.2733641595,0,NA,15190.2733641595,258234.647190711,121522.186913276,NA,45570.8200924784,106331.913549116,NA,0,15190.2733641595,NA,NA,15190.2733641595,NA
"125",188,64.33333333,-166.8853333,"I16",100,"O","S","O",NA,NA,NA,23520.4232735372,212663.827098232,51554.8671753291,NA,NA,NA,NA,NA,0,NA,NA,NA,462783.916862161,NA,NA,378726.38360342,NA,NA,65457.0941822909,321274.008343899,NA,378604.728564294
"126",189,64.33333333,-167.2683333,"I17/N189",225,"ONS","O","O",NA,NA,NA,NA,0,19391.8383372248,NA,NA,NA,34178.1150693588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",190,64.33333333,-167.6513333,"I18/N190",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,417338.406258747,NA,NA,0,0,NA,0
"128",191,64.33333333,-168.0345,"I19/N191",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",200,64.5,-161.8868333,"J03",100,"O","O","O",18228.3280369914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",201,64.5,-162.2723333,"J04",91.2,"O","S","O",5541.41172324537,7388.54896432716,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",202,64.5,-163.8138333,"J08",85.6,"c","S","S",29720.854856504,6934.86613318426,0,0,NA,NA,9631.75851831148,0,0,0,0,NA,0,13002.8739997205,0,NA,0,0,NA,0,0,NA,NA,0,NA
"132",203,64.5,-164.1991667,"J09",82.8,"c","S","S",65107.2987297715,0,6708.02471761282,NA,14072.7791278591,5590.02059801068,8983.96167537431,10481.28862127,12577.546345524,NA,0,NA,0,12577.546345524,0,NA,12577.546345524,12577.546345524,NA,0,0,NA,NA,0,NA
"133",204,64.5,-165.7408333,"J13",61.4,"O","S","O",NA,0,0,4974.30818431675,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",205,64.5,-166.0833333,"J14",78.1,"O","S","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",206,64.5,-166.5115,"J15",100,"O","S","O",NA,NA,15579.7675529841,140535.862416713,7840.14109117908,9206.22628130876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",207,64.5,-166.897,"J16",100,"O","S","O",NA,NA,NA,58264.0622186938,75013.6956254788,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",208,64.5,-167.2823333,"J17",225,"ONS","O","O",0,16083.8188561688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",209,64.5,-167.6676667,"J18/N209",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",210,64.5,-168.0531667,"J19/N210",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",211,64.48533333,-168.4831667,"J20/N211",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",220,64.66666667,-161.4801667,"K02",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",222,64.66666667,-166.521,"K15",67.4,"O","S","O",NA,NA,NA,5534.18607969918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",223,64.66666667,-166.9088333,"K16",100,"O","S","O",NA,NA,NA,335233.619071105,76912.7765273897,NA,NA,NA,NA,NA,NA,59206.0981004258,NA,NA,NA,60140.0448776911,NA,NA,0,NA,NA,0,184508.903529412,NA,NA
"144",224,64.66666667,-167.2965,"K17",225,"ONS","O","O",0,18228.3280369914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",225,64.66666667,-167.6843333,"K18/N225",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,228027.681825591,NA,NA,0,NA,NA,0
"146",226,64.66666667,-168.072,"K19/N226",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",227,64.74725,-168.4125278,"K20/N239",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",230,64.73725,-169.57625,"K23",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",236,64.83333333,-167.3108333,"L17/N236",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",237,64.83333333,-167.701,"L18/N237",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",238,64.83333333,-168.0911667,"L19/N238",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",240,64.76666667,-169.05,"L21",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",247,65,-167.718,"M18/N301A",225,"ONS","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,33839.7178904542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",249,64.98254167,-168.4670834,"M20/N302A",225,"ONS","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",250,65,-169.0666667,"M21",225,"ONS","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",252,65,-169.5,"M23",225,"ONS","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",611,65.31233333,-166.8896667,"PC-01",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",612,65.30416667,-166.5081667,"PC03",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",613,65.2995,-166.9181667,"C-14",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15190.2733641595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",614,65.29866667,-167.0003333,"C-16",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",615,65.27383333,-167.0835,"C-18",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",616,65.29983333,-167.0825,"C-14",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",617,65.32483333,-167.0001667,"C-17",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15190.2733641595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
